Predicate; Input; Output
IsNotNaN; [NaN, NaN, -0.5966216960295716, -0.49635427870700566, -0.6660005056054028, -0.21121405429539153, 0.4553603152521557, -0.863568940861833, 0.41206883157782026, NaN]; [-0.5966216960295716, -0.49635427870700566, -0.6660005056054028, -0.21121405429539153, 0.4553603152521557, -0.863568940861833, 0.41206883157782026]
IsPositive; [0.5344848751565281, -0.26195068451428405, -0.20717007518738484, 0.895804370159119, 0.5866435595714345, -0.2919569292505273, 0.28855690610944085, -0.7701633930983689, -0.5954930321822824, 0.04557889637802148]; [0.5344848751565281, 0.895804370159119, 0.5866435595714345, 0.28855690610944085, 0.04557889637802148]
DivisibleByTwo; [0.7363574899266143, 0.025206739196892203, -0.3278111711142504, 0.2545509681141842, 0.9752833779375347, -0.07197355479824297, -0.3576643659995036, 0.6621318550440771, 0.6581675364163126, -0.06765056880364528]; []
IsNotNaN; [NaN, -0.5706054601946424, NaN, 0.2550104952380563, NaN, 0.6205228623631964, 0.2740806230021937, NaN, 0.3965148077293066, 0.09751684343084643]; [-0.5706054601946424, 0.2550104952380563, 0.6205228623631964, 0.2740806230021937, 0.3965148077293066, 0.09751684343084643]
IsNotNaN; [NaN, NaN, 0.699553693583991, 0.7201895916879639, 0.7875279217334183, -0.7004155307917628, NaN, -0.643355106275332, NaN, 0.24750597502595073]; [0.699553693583991, 0.7201895916879639, 0.7875279217334183, -0.7004155307917628, -0.643355106275332, 0.24750597502595073]
DivisibleByTwo; [-0.10724245948188948, -0.4526868035494669, -0.488994729920071, 0.09372170120731993, -0.020922096695106474, -0.683984239480375, -0.6403726536933598, 0.8183526733849864, -0.45333852125540863, -0.4155834319105538]; []
IsNotNaN; [-0.054830880065454224, NaN, 0.9347268335991565, NaN, 0.019883361752984108, 0.4505094260958449, NaN, 0.9485024534555861, -0.08286370402307708, NaN]; [-0.054830880065454224, 0.9347268335991565, 0.019883361752984108, 0.4505094260958449, 0.9485024534555861, -0.08286370402307708]
DivisibleByTwo; [-0.9325507789055758, -0.38303030733942034, 0.44330558639234696, -0.6131800129576657, -0.16536073074391244, 0.7967944123761272, -0.12044911598903107, -0.8672263545694789, -0.34699823116477435, 0.12861572913311292]; []
IsPositive; [-0.0024284781403505207, 0.9318823506805873, -0.7259220837359259, 0.9391422325990955, -0.028020449220003796, -0.10994440265683747, -0.590440574688911, 0.16520775879507354, -0.13706554330142784, 0.8427441636182331]; [0.9318823506805873, 0.9391422325990955, 0.16520775879507354, 0.8427441636182331]
IsNotNaN; [-0.6617815984308848, 0.6961556023612714, 0.9461988989932595, 0.8292110085408342, 0.7134383742879884, -0.6805718146869879, NaN, NaN, NaN, 0.5421271660637288]; [-0.6617815984308848, 0.6961556023612714, 0.9461988989932595, 0.8292110085408342, 0.7134383742879884, -0.6805718146869879, 0.5421271660637288]
DivisibleByTwo; [0.5569368296204065, -0.9117647770301731, 0.571288920966754, -0.038298798508425325, -0.17600604140494291, -0.40491278091010674, 0.433237475445039, 0.5718086887919323, -0.480369453387977, 0.03275886902346059]; []
DivisibleByTwo; [0.07532038994863854, -0.5852066242098801, -0.3225628108231293, -0.7173607480326365, 0.6158869995743801, 0.33010173828675393, -0.36323654077514633, -0.05571008937958166, 0.5681207539852535, -0.8016393370691226]; []
IsPositive; [-0.6144644290280448, -0.1793680869712675, -0.26193952230167583, -0.9562736432164103, -0.8056559805587604, -0.36417645772197815, -0.7563661608500247, -0.3674960561657079, -0.18689846179671243, 0.0037119731973755954]; [0.0037119731973755954]
IsPositive; [0.3136988289945495, -0.20607049614503548, -0.7699116228676806, -0.841116739100749, -0.589144172969768, 0.5893961016374452, 0.5342177947639528, 0.7689745765664642, -0.08094191035391085, -0.3307039576807662]; [0.3136988289945495, 0.5893961016374452, 0.5342177947639528, 0.7689745765664642]
IsNotNaN; [0.774869607332473, 0.26605460669888936, -0.8531859365094563, -0.31795733547460436, NaN, 0.566517167644049, -0.2809596208606213, 0.4377248977169561, -0.331003519940676, -0.20692510891356064]; [0.774869607332473, 0.26605460669888936, -0.8531859365094563, -0.31795733547460436, 0.566517167644049, -0.2809596208606213, 0.4377248977169561, -0.331003519940676, -0.20692510891356064]
IsNotNaN; [0.5653908333788822, -0.3207609629675052, 0.7974042683713227, NaN, 0.6601509116661437, NaN, NaN, -0.3754591639351348, 0.42855429116235855, -0.5642138431715811]; [0.5653908333788822, -0.3207609629675052, 0.7974042683713227, 0.6601509116661437, -0.3754591639351348, 0.42855429116235855, -0.5642138431715811]
DivisibleByTwo; [-0.12212778868069774, -0.665161986506366, -0.6933568728688746, -0.39955258580466446, 0.14767376295424128, -0.5927027209499696, -0.67344134447816, -0.8729723566505405, -0.6046753523069959, 0.23740024055184006]; []
DivisibleByTwo; [-0.20358454577030138, 0.5244544923773924, 0.3853827418177811, 0.6755684057338935, -0.8463224582772835, -0.9232291733672238, 0.7171184545240645, -0.9229109249486329, 0.8932208413242255, 0.004058259106990647]; []
IsPositive; [0.5601149358162878, -0.44810454534212796, -0.8939689950281793, -0.03234615645435346, -0.0677025687921573, 0.7875525137939854, -0.388247268504027, 0.18852063959773857, -0.9680729302267543, -0.3120582846304931]; [0.5601149358162878, 0.7875525137939854, 0.18852063959773857]
IsNotNaN; [0.9280706603160369, NaN, -0.9488893495478847, 0.25177737214722584, -0.6078306225393433, 0.02823981771812667, -0.3731068244475222, -0.39077101265374736, NaN, 0.8493734015878862]; [0.9280706603160369, -0.9488893495478847, 0.25177737214722584, -0.6078306225393433, 0.02823981771812667, -0.3731068244475222, -0.39077101265374736, 0.8493734015878862]
DivisibleByTwo; [0.6270158178887586, -0.05843586978575854, -0.6993809448626505, 0.6746319431489756, 0.32093697038289815, -0.8721333655160837, 0.43268079427012096, 0.5284432870030558, -0.8472690949193329, 0.3945263529207752]; []
DivisibleByTwo; [-0.7676710790749912, -0.2883228214251481, 0.31099286223873124, -0.012663417230301954, -0.923374559849574, 0.24797816374598547, -0.9181042514163444, -0.05732339514698803, 0.5938196095403603, -0.7418061426501437]; []
IsPositive; [0.575059096601896, 0.403396424117483, -0.6284254048111133, 0.2602734754844951, -0.17209328411718516, 0.6066624272583954, 0.44080857079113245, -0.5200975268314694, -0.47729546017408353, -0.33483687538085016]; [0.575059096601896, 0.403396424117483, 0.2602734754844951, 0.6066624272583954, 0.44080857079113245]
DivisibleByTwo; [0.06328615987710262, 0.6575308512253399, 0.591486652403711, -0.4302864321137101, -0.45163577276277844, -0.44965808382337946, -0.16240772929865543, -0.53956003787446, -0.16594028559209084, -0.6469006545018954]; []
IsNotNaN; [0.3685526590749384, NaN, -0.6101263320082841, NaN, -0.886417645389433, -0.910650853292631, -0.3664281516427894, -0.24233734254155825, 0.9899444361830507, 0.6530107646497862]; [0.3685526590749384, -0.6101263320082841, -0.886417645389433, -0.910650853292631, -0.3664281516427894, -0.24233734254155825, 0.9899444361830507, 0.6530107646497862]
IsPositive; [-0.49861381586822207, -0.30937033103091416, -0.6140239072965221, 0.23033249558998725, 0.07086887493482674, 0.439435954064749, -0.45542498716051294, 0.11537244661885615, -0.7921045347205589, 0.3600832536524494]; [0.23033249558998725, 0.07086887493482674, 0.439435954064749, 0.11537244661885615, 0.3600832536524494]
DivisibleByTwo; [-0.8405357156053463, -0.5774170411610233, -0.9059210813753229, -0.44256708010161416, -0.9624326422402607, 0.191908981393887, 0.18812274792115913, -0.23372079899649356, 0.03434237675880336, 0.9289691140707494]; []
IsPositive; [-0.3155934354219023, -0.643132462049975, 0.6349384373546314, -0.7377334755502647, 0.8543632432878452, 0.9798113017062735, 0.5325543685728764, -0.8564847374476361, -0.20902786691357855, 0.5157515070643086]; [0.6349384373546314, 0.8543632432878452, 0.9798113017062735, 0.5325543685728764, 0.5157515070643086]
IsNotNaN; [-0.6536060960904226, NaN, 0.023958895323459295, -0.5420057759689587, NaN, 0.20750027314484631, -0.7669419626602794, 0.6317508913945704, NaN, 0.8672986548786739]; [-0.6536060960904226, 0.023958895323459295, -0.5420057759689587, 0.20750027314484631, -0.7669419626602794, 0.6317508913945704, 0.8672986548786739]
IsNotNaN; [-0.141040784581405, NaN, -0.2374320028700878, 0.998236063018372, 0.7963251073617019, -0.3616362728763418, 0.8448636713105038, 0.39478937541709214, NaN, 0.9123353940551224]; [-0.141040784581405, -0.2374320028700878, 0.998236063018372, 0.7963251073617019, -0.3616362728763418, 0.8448636713105038, 0.39478937541709214, 0.9123353940551224]
IsNotNaN; [NaN, 0.1545903964131985, -0.7504390938060155, -0.5605183695403453, 0.6796784445371986, -0.2562063423955747, -0.2753044787994008, -0.14773779585676872, -0.8130606802255287, 0.3033142794270969]; [0.1545903964131985, -0.7504390938060155, -0.5605183695403453, 0.6796784445371986, -0.2562063423955747, -0.2753044787994008, -0.14773779585676872, -0.8130606802255287, 0.3033142794270969]
IsNotNaN; [NaN, -0.4486023462968276, -0.21845971803787445, 0.3817867705068829, 0.045906649266880484, -0.15934162211163305, NaN, -0.8497615318096021, -0.3265608068582062, -0.9586771477502649]; [-0.4486023462968276, -0.21845971803787445, 0.3817867705068829, 0.045906649266880484, -0.15934162211163305, -0.8497615318096021, -0.3265608068582062, -0.9586771477502649]
IsPositive; [0.5637538455784412, 0.3351104108496552, 0.9951140382778569, -0.4690533707195057, -0.6099088820631369, -0.3996001994569236, -0.833272179907665, -0.4485259075540182, 0.26789730163585324, 0.9163382573364178]; [0.5637538455784412, 0.3351104108496552, 0.9951140382778569, 0.26789730163585324, 0.9163382573364178]
IsNotNaN; [NaN, -0.1553855252260652, 0.918613662121309, NaN, 0.6974999706510214, 0.6977959952968822, 0.5571392284993553, 0.9141656835160767, 0.985548640497012, 0.8219013597604696]; [-0.1553855252260652, 0.918613662121309, 0.6974999706510214, 0.6977959952968822, 0.5571392284993553, 0.9141656835160767, 0.985548640497012, 0.8219013597604696]
IsPositive; [0.931767601566073, 0.6623880599346679, -0.7205935127571879, -0.3676212438188413, -0.6398338966268018, 0.6598868017280652, 0.5468511026096334, 0.968213301333017, -0.3364421980891277, -0.6522600657737936]; [0.931767601566073, 0.6623880599346679, 0.6598868017280652, 0.5468511026096334, 0.968213301333017]
IsPositive; [0.028392400767795145, -0.941365160119773, -0.6827174551624231, 0.8845205279919715, -0.8215502618181614, 0.6353273053124251, 0.36442925155783645, 0.8511469967671641, 0.9669208237426123, 0.4882972596533297]; [0.028392400767795145, 0.8845205279919715, 0.6353273053124251, 0.36442925155783645, 0.8511469967671641, 0.9669208237426123, 0.4882972596533297]
IsNotNaN; [NaN, NaN, 0.5790450403685075, -0.5235514021791068, -0.9714438195228361, 0.372526662381073, -0.43877063438618924, 0.029301262472444467, -0.9825958997176147, NaN]; [0.5790450403685075, -0.5235514021791068, -0.9714438195228361, 0.372526662381073, -0.43877063438618924, 0.029301262472444467, -0.9825958997176147]
IsNotNaN; [-0.7172282884577283, 0.5141829144734016, NaN, 0.8268068044909989, -0.781819253860945, 0.49361250167866677, 0.5756809343931206, -0.7179556064555925, -0.9979422111910952, -0.13951399169784762]; [-0.7172282884577283, 0.5141829144734016, 0.8268068044909989, -0.781819253860945, 0.49361250167866677, 0.5756809343931206, -0.7179556064555925, -0.9979422111910952, -0.13951399169784762]
IsPositive; [-0.6627288761989107, 0.7603171801134587, 0.468271465752254, 0.11406404071429144, 0.6510010298171973, -0.21594912942773847, 0.9574224176541102, -0.3723463821367974, -0.7960608565227958, 0.6086116478611796]; [0.7603171801134587, 0.468271465752254, 0.11406404071429144, 0.6510010298171973, 0.9574224176541102, 0.6086116478611796]
DivisibleByTwo; [0.06135929983770372, 0.6592644794307501, 0.8186877453251067, -0.06731006036838694, 0.6707746536975119, 0.06941365430893853, -0.7232827335092251, -0.04021688158507852, -0.29832630065328103, 0.23563997876030407]; []
IsNotNaN; [-0.62458605112178, 0.3052229772638677, 0.19877550116629839, -0.5088164938511346, -0.11727991154696871, 0.9873345552820012, 0.6486706246410738, NaN, -0.15573810688446077, NaN]; [-0.62458605112178, 0.3052229772638677, 0.19877550116629839, -0.5088164938511346, -0.11727991154696871, 0.9873345552820012, 0.6486706246410738, -0.15573810688446077]
IsPositive; [-0.7171737017787798, 0.9685550400462266, 0.3013753252936755, -0.28333196019244955, 0.9102945091887358, -0.9686026023008625, 0.8944566000931287, -0.28520183411142663, -0.6077548935955741, -0.5869305039816468]; [0.9685550400462266, 0.3013753252936755, 0.9102945091887358, 0.8944566000931287]
IsPositive; [-0.945420843362635, -0.7107456609123708, 0.2552102956065265, 0.272220659069518, 0.5273341052092586, -0.6269283479202812, -0.862805442931452, -0.9756552489198762, -0.1736317166818686, -0.11145415988358165]; [0.2552102956065265, 0.272220659069518, 0.5273341052092586]
IsPositive; [0.7705673019020354, 0.6261222741706085, -0.11989235376641694, -0.8594569496931443, 0.027922946166970553, -0.33238185192375713, -0.3863288669757541, 0.49169503549687343, -0.8081418862708372, -0.7966959036118793]; [0.7705673019020354, 0.6261222741706085, 0.027922946166970553, 0.49169503549687343]
IsPositive; [0.49899447357672666, -0.6821686862541563, 0.05688112129386047, -0.7842338134500231, 0.2097003276910805, 0.1111413197389326, -0.2685653967636734, -0.11865295791939334, -0.5667349286824241, -0.21980044427501477]; [0.49899447357672666, 0.05688112129386047, 0.2097003276910805, 0.1111413197389326]
DivisibleByTwo; [-0.9197217512450826, -0.605135146460654, 0.6215497854076306, 0.6901281473642125, 0.6322435401648072, -0.989060099582421, -0.998221923927737, -0.20718919444530814, 0.47563824459820125, -0.8276478853341713]; []
IsNotNaN; [0.5235579893089612, NaN, NaN, NaN, NaN, NaN, 0.05191979347322029, 0.2268556132496775, -0.6519995763087874, -0.08316301062750431]; [0.5235579893089612, 0.05191979347322029, 0.2268556132496775, -0.6519995763087874, -0.08316301062750431]
IsNotNaN; [NaN, -0.5860609121997229, 0.2840130196775972, NaN, -0.31123764980475177, NaN, 0.11467388701316095, -0.8989976953670749, NaN, 0.33506626907522663]; [-0.5860609121997229, 0.2840130196775972, -0.31123764980475177, 0.11467388701316095, -0.8989976953670749, 0.33506626907522663]
IsPositive; [0.8282511615968184, -0.984201934150162, -0.3185793842506186, 0.6404913344989716, -0.3990653759614706, -0.6888560149664924, -0.6072780298744991, 0.013641283699151074, 0.5332312185551267, -0.29190342086273424]; [0.8282511615968184, 0.6404913344989716, 0.013641283699151074, 0.5332312185551267]
DivisibleByTwo; [0.2679499273147803, -0.434163533744248, 0.9537531208934891, 0.9492348985222838, -0.46796886820443184, 0.8561895233277499, 0.710136915753129, -0.0268712750381479, -0.6847947522412903, 0.03693433274035396]; []
IsNotNaN; [NaN, -0.3588000232767572, 0.6133846274622399, -0.9137875747400295, -0.6513586146297623, NaN, -0.35978393992963253, 0.9284269689991451, -0.2260380280070282, NaN]; [-0.3588000232767572, 0.6133846274622399, -0.9137875747400295, -0.6513586146297623, -0.35978393992963253, 0.9284269689991451, -0.2260380280070282]
DivisibleByTwo; [0.09507664370548219, 0.5176648951440745, -0.5654106378433583, 0.39900855980170946, -0.05650043093794577, -0.4524221422489578, 0.6113405081016625, 0.17733648752504294, 0.19129232226443582, 0.35150430115704023]; []
IsPositive; [0.7526648170279726, 0.09505633959067006, -0.16912469443078249, 0.7695047319430317, 0.9984791021290622, 0.49037269697928654, -0.3518663265412205, 0.2843730107824969, 0.5256064589298879, 0.052665245936930116]; [0.7526648170279726, 0.09505633959067006, 0.7695047319430317, 0.9984791021290622, 0.49037269697928654, 0.2843730107824969, 0.5256064589298879, 0.052665245936930116]
DivisibleByTwo; [-0.09965731388926735, 0.5665776458682663, 0.6911980836276368, 0.9169800557120884, -0.9895101498062544, 0.7184772236233452, 0.7415335426903751, -0.508605256891471, 0.37058511497927715, 0.9710444759617312]; []
IsNotNaN; [-0.5428904332443503, NaN, NaN, NaN, 0.5209443982258384, -0.6411170151297707, 0.22766198800806214, 0.009946288059963004, -0.3744614127478636, -0.8388705683692124]; [-0.5428904332443503, 0.5209443982258384, -0.6411170151297707, 0.22766198800806214, 0.009946288059963004, -0.3744614127478636, -0.8388705683692124]
IsPositive; [0.9748759720551166, 0.007184625971081715, 0.374950729766377, 0.524520993512221, -0.6335479789289951, 0.6513857008152997, -0.10803929790728439, 0.5859709346674142, -0.03446869089845084, -0.2190716191361224]; [0.9748759720551166, 0.007184625971081715, 0.374950729766377, 0.524520993512221, 0.6513857008152997, 0.5859709346674142]
IsPositive; [-0.29369068929522424, 0.0294012167525326, 0.7034101119287952, -0.698790167315053, 0.9785188136443033, -0.5576048249509362, -0.7663936008739025, -0.3526793564149784, -0.5951858027595764, -0.1933972590252111]; [0.0294012167525326, 0.7034101119287952, 0.9785188136443033]
DivisibleByTwo; [-0.2628001975277283, 0.8891708578772153, 0.2521812723316237, -0.19810851587802958, 0.359924731492123, -0.5391836802826111, -0.1113880642111329, 0.7858762513762458, -0.46623530263503166, 0.08362705507624013]; []
IsPositive; [0.9021046305811924, -0.19539851094322858, -0.6794408461946604, -0.646670230582127, -0.5569982004565504, -0.2032091166227068, -0.3875994663927764, 0.6738456606939958, -0.22223750889194194, 0.27321975813804156]; [0.9021046305811924, 0.6738456606939958, 0.27321975813804156]
DivisibleByTwo; [0.5333658509366406, -0.2537620756513035, 0.2082842593166392, -0.8155948829058031, -0.29060920491228814, -0.3410286507559259, 0.4894036285958807, -0.5660490389295094, 0.2078622310744811, 0.7760793439468625]; []
DivisibleByTwo; [-0.33178041006295356, -0.44847493377966896, -0.10423173300063526, -0.9172779152802846, 0.8724018858180809, -0.5914151271855543, -0.27498727326551897, -0.5769876108490044, -0.009340793617873988, 0.5416118511816728]; []
DivisibleByTwo; [-0.9742347397272284, -0.8471252202374331, 0.41705987586122073, 0.6417516894020612, 0.2734840227094144, -0.8689055525421379, 0.07191256969571946, -0.9235988752102513, -0.00748541202035935, 0.6846039221149707]; []
DivisibleByTwo; [-0.23457042735635847, 0.927421085310606, 0.4689324224862197, -0.7905549851012075, -0.36358790704234156, 0.9622967531821904, 0.7675641281675376, -0.5932651250146372, 0.8767117170823919, 0.198706512268793]; []
IsNotNaN; [NaN, -0.1966448202441009, -0.7567622004301806, 0.2796014669543472, 0.7007674276075129, -0.8300252126978391, 0.9627970167933371, 0.7450380051597283, 0.3077850063221965, 0.7244057026607049]; [-0.1966448202441009, -0.7567622004301806, 0.2796014669543472, 0.7007674276075129, -0.8300252126978391, 0.9627970167933371, 0.7450380051597283, 0.3077850063221965, 0.7244057026607049]
DivisibleByTwo; [0.5510655499338402, -0.5313526355593756, 0.05711242095661673, -0.4038161513341516, -0.20448847138651471, -0.9792346623768482, 0.6847390090952292, 0.9286565508194673, -0.3069000221627214, -0.473112452770607]; []
IsNotNaN; [NaN, 0.20774855837592998, 0.48712829285958925, -0.29074554970616173, 0.920570291528723, NaN, NaN, NaN, 0.8668960132969239, -0.4238795265006352]; [0.20774855837592998, 0.48712829285958925, -0.29074554970616173, 0.920570291528723, 0.8668960132969239, -0.4238795265006352]
DivisibleByTwo; [0.34570848778056384, -0.793460394773557, -0.6793010025864556, 0.9515308482881919, -0.282750291538435, 0.798155102658187, -0.39416672276035203, 0.5285823288745708, 0.9068338303910766, 0.18859375730998185]; []
IsNotNaN; [-0.3355632933756787, 0.062623415529107, -0.31613682632921614, NaN, 0.6961368231209855, NaN, 0.7432933878357211, -0.5737206570975077, 0.049249507947443316, 0.1597325264873255]; [-0.3355632933756787, 0.062623415529107, -0.31613682632921614, 0.6961368231209855, 0.7432933878357211, -0.5737206570975077, 0.049249507947443316, 0.1597325264873255]
IsPositive; [0.7984439080128949, 0.44555201640124276, 0.6831242061389851, 0.23475194441819824, -0.845713280813776, -0.48795756157493786, 0.5305531740545033, -0.9889738020316861, -0.35029780094689955, -0.9584272434925252]; [0.7984439080128949, 0.44555201640124276, 0.6831242061389851, 0.23475194441819824, 0.5305531740545033]
IsPositive; [-0.08857047533204332, -0.1204883749897998, -0.6642936818939953, -0.3375873171391315, -0.21639657418069236, -0.8047144873190477, -0.45233070987414514, 0.5531580788761723, 0.06415181533306225, -0.6634099502921131]; [0.5531580788761723, 0.06415181533306225]
DivisibleByTwo; [0.1330614699996273, -0.7396291112817119, -0.48595706047735465, 0.21034314351644623, -0.4877222901406697, 0.6701127609178366, 0.7514417059921465, 0.5862564870646056, -0.021393461215047038, 0.30164794239778203]; []
IsPositive; [-0.1563314539210634, -0.4579068757310063, -0.8155723093029408, -0.10177178892979111, -0.37491066755061664, -0.48451354782932254, -0.8857646650304651, -0.5909834838097363, -0.6020197688745277, -0.0168657150417566]; []
IsNotNaN; [-0.9888991152112432, 0.8878441030856257, 0.995675638106218, 0.6260706106577738, 0.7017051017097022, 0.5786382838758157, 0.3220752808002363, 0.9901103436082743, -0.44391549957846155, -0.48600286163139716]; [-0.9888991152112432, 0.8878441030856257, 0.995675638106218, 0.6260706106577738, 0.7017051017097022, 0.5786382838758157, 0.3220752808002363, 0.9901103436082743, -0.44391549957846155, -0.48600286163139716]
IsPositive; [0.42884948122889166, 0.1134512045818008, -0.07824806555334884, 0.32252975657471783, 0.9514493757641147, 0.36880840209087284, 0.28786878099707813, 0.6222192222758789, -0.7027066008050691, 0.8553485561800591]; [0.42884948122889166, 0.1134512045818008, 0.32252975657471783, 0.9514493757641147, 0.36880840209087284, 0.28786878099707813, 0.6222192222758789, 0.8553485561800591]
IsPositive; [0.6636599041992879, -0.6287915675581515, -0.6357326922587707, -0.9239211174086734, 0.6962790274761288, -0.1459526522582837, -0.23505964991023975, -0.6507599658649033, -0.09315234783974358, -0.39941772745170545]; [0.6636599041992879, 0.6962790274761288]
IsNotNaN; [-0.4583336420704147, 0.42763932285676254, -0.9105936769076755, -0.5336918275047395, NaN, -0.8622458275485227, 0.3960330418436828, NaN, NaN, -0.49917569317397104]; [-0.4583336420704147, 0.42763932285676254, -0.9105936769076755, -0.5336918275047395, -0.8622458275485227, 0.3960330418436828, -0.49917569317397104]
IsPositive; [0.9223978781346294, 0.5582392107037324, -0.6466161665492403, -0.2389576287186408, 0.7115403963902902, 0.7755378886813713, 0.16016289536847483, -0.9786556190651801, -0.9903293381379705, 0.6205097892210263]; [0.9223978781346294, 0.5582392107037324, 0.7115403963902902, 0.7755378886813713, 0.16016289536847483, 0.6205097892210263]
DivisibleByTwo; [0.6990120336963423, 0.7751901694505332, 0.3363109817842176, -0.5374533312254741, 0.06482590610406058, 0.5231160091776286, 0.4721103867392462, -0.1797964150326432, -0.2873032498776702, 0.8757318144218422]; []
IsNotNaN; [-0.178819198348793, 0.8615855915776502, -0.13696698327229062, 0.07022561093532143, NaN, NaN, 0.7660322903334618, 0.6653292998837586, 0.6499870051424168, 0.8117418087722195]; [-0.178819198348793, 0.8615855915776502, -0.13696698327229062, 0.07022561093532143, 0.7660322903334618, 0.6653292998837586, 0.6499870051424168, 0.8117418087722195]
IsNotNaN; [NaN, 0.330089600539468, -0.3210330556054841, 0.35639714811425893, NaN, NaN, NaN, -0.24456431701271208, 0.6252421560795294, -0.7131265721212641]; [0.330089600539468, -0.3210330556054841, 0.35639714811425893, -0.24456431701271208, 0.6252421560795294, -0.7131265721212641]
IsNotNaN; [NaN, 0.058697193149762406, NaN, 0.18570916125272396, -0.6582937386760404, 0.8287626636320815, 0.3945239237669682, NaN, NaN, 0.9767198225313152]; [0.058697193149762406, 0.18570916125272396, -0.6582937386760404, 0.8287626636320815, 0.3945239237669682, 0.9767198225313152]
IsNotNaN; [0.16679525018540553, 0.8661278064456563, NaN, 0.48857778949254405, -0.39100122077215005, NaN, -0.6947791493874516, 0.6774029647144892, -0.9279804711316888, -0.19561142304056212]; [0.16679525018540553, 0.8661278064456563, 0.48857778949254405, -0.39100122077215005, -0.6947791493874516, 0.6774029647144892, -0.9279804711316888, -0.19561142304056212]
IsNotNaN; [NaN, 0.8403862849210826, -0.9360496389241224, NaN, -0.2952548838197677, 0.7566952303858154, 0.8997920182636705, 0.9341318383881199, 0.18061287489020783, NaN]; [0.8403862849210826, -0.9360496389241224, -0.2952548838197677, 0.7566952303858154, 0.8997920182636705, 0.9341318383881199, 0.18061287489020783]
IsPositive; [-0.15381165191908863, 0.7734307489016572, -0.759738643054028, -0.1299781022453772, -0.3610568594753707, 0.4171669720604507, -0.2360779037217895, -0.02926363089884232, -0.8641689796739052, -0.621429950486059]; [0.7734307489016572, 0.4171669720604507]
DivisibleByTwo; [0.7974307072968578, 0.8112131504595057, -0.43551986522937547, 0.014056489060307431, 0.7570003762377056, 0.7470815339699453, 0.33487005522388924, 0.7051700756947921, -0.8246738624060239, -0.4460437867482894]; []
DivisibleByTwo; [0.7082539524307672, 0.4113660433150832, -0.253351537078192, 0.3974476576699406, -0.25091990144569154, -0.5847664605842902, 0.21942215044015212, 0.6698348858123007, -0.06624778461380343, -0.4553589554467652]; []
