Operator; left array; right array; result
DoubleProductOfTwo; [-0.3849576880508401, -0.6691850700720741, -0.04540447009367932]; [0.33819168941309874, 0.26763487065515146, -0.4671142185999231, -0.03332381515147187, 0.3433936046008206]; [-0.13018949087447426, -0.179097259673098, 0.021209073568752592]
DoubleSumSqrtsOfTwo; []; [0.5843173533090298, 0.548260533931074]; []
DoubleSumSqrtsOfTwo; [0.1436908573995821, 0.13677447361681927, -0.5188585562864494, 0.5380543395697099]; [-0.4712371376174369, -0.4376931308369494, 0.7128119466908491]; [NaN, NaN, NaN]
DoubleSumOfTwo; []; [-0.1583640087150373, 0.8477183024244255, -0.2777739707324207]; []
DoubleSumSqrtsOfTwo; [-0.8717428968187122, 0.4469338936688392, 0.24952063893546983, -0.3894780400989437]; [0.3019487555028926, -0.16660585483042523]; [NaN, NaN]
DoubleProductOfTwo; [0.16442903933206532]; [-0.5205344409916131, -0.298810813152536]; [-0.08559097807150458]
DoubleProductOfTwo; [0.16665558477579223, 0.4879487338324955, 0.4426478958441, 0.16091029390277378]; [-0.9865402390385294, -0.8087792273276151, -0.46128505740317105, 0.11135889805619037, 0.49726730747996206]; [-0.16441244044181597, -0.3946427999245338, -0.20418686004383857, 0.017918793014910617]
DoubleSumOfTwo; [-0.5864236863015184, -0.23681750711504157, -0.25963113709280794, 0.12950502677454057, 0.11055823211210591]; [-0.5785795741868405]; [-1.165003260488359]
DoubleSumSqrtsOfTwo; [0.07075121098001325]; [0.42832059399258693]; [0.9204530625243645]
DoubleSumOfTwo; [-0.5892081110398586, 0.5640968781081108, 0.7946588288980507, -0.12382383019624954, -0.022335687222539757]; [0.23707782691209256, 0.6306127804505444]; [-0.35213028412776604, 1.1947096585586552]
DoubleProductOfTwo; [0.7695641164995353]; [-0.12315074644171453, 0.8109792373735092, 0.9552038000550604, 0.07858194934338769]; [-0.09477239538167632]
DoubleSumOfTwo; []; [0.718294232149608, 0.751273073884311]; []
DoubleProductOfTwo; [-0.4896885562181783]; [-0.4389438630251834]; [0.21494578654563187]
DoubleSumSqrtsOfTwo; [-0.8286371357358313, 0.8480508201412953, 0.09801135310247999]; [-0.9346420461519329, 0.34440514169626213, -0.8547482590117195, 0.3491691213331538]; [NaN, 1.5077571585597371, NaN]
DoubleProductOfTwo; [0.2080081219148313]; [-0.02489509220638575, 0.5923664283107017]; [-0.0051783813747468535]
DoubleSumSqrtsOfTwo; [0.8880473443594645, 0.4266181930649031, 0.8955337580828577, 0.7873286676614841]; [-0.48591911631689144, -0.21432721001475796]; [NaN, NaN]
DoubleProductOfTwo; []; [-0.1840833608112964, -0.9124878998658803]; []
DoubleProductOfTwo; []; [-0.6166971103846501, 0.8521070036342793, -0.8863054137428243, 0.8364516113937288, 0.595732811725268]; []
DoubleSumOfTwo; [-0.5404118307094572, -0.9804535666242147, -0.5128879777355275, 0.08136591270888993]; []; []
DoubleSumSqrtsOfTwo; [-0.755136212632264, 0.3596108969194085, 0.9982300623751201, -0.7737693722041401, -0.5335093508638529]; []; []
DoubleProductOfTwo; [0.8432271780730716, -0.9615418888462237, 0.2913104516409053, -0.19428721896345125]; [0.7780916118168646, 0.25374294798394126, -0.6490475456992071, -0.3987900708035794, -0.9501946543515503]; [0.6561079941146626, -0.24398447348588798, -0.18907433367405713, 0.07747981380666526]
DoubleSumSqrtsOfTwo; [0.13657347729716363, -0.7862844226041217, 0.28389057059461065, -0.7796341727583775, -0.11856318313697067]; [0.5874371862138843]; [1.1360029992299598]
DoubleSumSqrtsOfTwo; [0.6548571373249361, 0.6802343273972942, -0.9809765033376887, -0.38837322842475763]; [-0.9108762278133935, 0.9311879950598825, -0.40757273792559445, 0.8041219680242553]; [NaN, 1.7897440210051498, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.749620285519085, 0.2822446807652885, -0.8282138352654544]; [0.45527210975622023, -0.5395304518383834, -0.4914738377964205]; [1.5405446969565495, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.09951667809803677, 0.5517404254174607, -0.984522216067647]; [0.3530033514454043, -0.9835053918486198]; [0.9096034928870862, NaN]
DoubleSumSqrtsOfTwo; [-0.5766538884198769, -0.6127689324812575, 0.14364564720307382]; [-0.05976033424815652, 0.4801947697392952, -0.44585586225708695]; [NaN, NaN, NaN]
DoubleSumOfTwo; []; [-0.7464251662015702, -0.05063581068402012, 0.6436731127456441]; []
DoubleSumSqrtsOfTwo; [0.47726089192928534]; [-0.3505991919887763, 0.874249671537157, -0.6262860529325167]; [NaN]
DoubleProductOfTwo; [-0.8644408720828669, 0.3529967636598703]; []; []
DoubleSumOfTwo; [-0.6978833233680501, -0.44393684597849314, -0.5320354691274827, -0.7154528842151155, 0.6753590248529246]; [0.9371104283995586]; [0.23922710503150846]
DoubleSumSqrtsOfTwo; [0.572233632101165, 0.6597816999885562, -0.7047860991522115, -0.7198271167960626]; []; []
DoubleProductOfTwo; []; [0.575316446675, 0.8818864123915537, 0.6385444545655876, -0.03405184449115817]; []
DoubleProductOfTwo; [0.21676441485934506, -0.3013409949699053, -0.4462864361315053, -0.6288163842328687, -0.6237984274456436]; [-0.7119422101753732, -0.37776890225588255]; [-0.15432373660233362, 0.11383725687447654]
DoubleSumSqrtsOfTwo; [-0.9665660739475603, 0.5278301047194109, -0.10963247853194447, -0.7439403645761713, 0.34610954187050025]; [-0.5806055692576446, 0.6227860901264715]; [NaN, 1.5156871435632193]
DoubleProductOfTwo; [0.9461674247738427]; [-0.67315459696457, -0.8500184633905461, 0.1923133585673793]; [-0.6369169514846412]
DoubleProductOfTwo; [-0.513880279171341, -0.1364519086395759, -0.7395117865663599, 0.36540134317129747]; [0.9652033933039772]; [-0.4959989892081735]
DoubleProductOfTwo; [-0.2336928767556803, 0.45253827481526265]; [-0.742096111885749, 0.8587821779515956, 0.9396851315059063, 0.11608709082668911]; [0.17342257521578586, 0.38863180525230895]
DoubleSumSqrtsOfTwo; [-0.2235591422150356, 0.6392842403413184]; [-0.9612718483100622, -0.027096175509282228, 0.8723712637791277, -0.010575005901682921]; [NaN, NaN]
DoubleSumOfTwo; [-0.9166321117256353, 0.8325730212185802, -0.3378529101613912, -0.08002692568878289]; [-0.3202869006004403]; [-1.2369190123260756]
DoubleProductOfTwo; [0.7096130902857605, 0.9228976524919297, 0.8775696032571436, -0.26694249407225845]; [-0.6352393000508272, 0.9896733753222684]; [-0.45077412278003093, 0.913367234818686]
DoubleSumOfTwo; [-0.7261862921771929, -0.1637407573724079, 0.7104228168864057, -0.3391454771193938, -0.22496847969719136]; [-0.12152617717922531, 0.459752860929433, 0.36081016029705837, -0.8371527047090479]; [-0.8477124693564182, 0.2960121035570251, 1.071232977183464, -1.1762981818284417]
DoubleSumOfTwo; [0.843052638016345, -0.0992407892187428, -0.48603091166708134, 0.6088806298792788, 0.24974548517567308]; [-0.2586922056886627, 0.8520443968773659, 0.8025944396693114, -0.7548251756131861, 0.5978340293919606]; [0.5843604323276823, 0.7528036076586231, 0.3165635280022301, -0.14594454573390725, 0.8475795145676337]
DoubleSumSqrtsOfTwo; [-0.7937704208196026, 0.5295235579005375, 0.9568769485349145]; []; []
DoubleSumOfTwo; [0.8900321732025898]; [-0.7712358738059863, 0.01781584070866704, 0.4000335868362812, 0.6557425471205072]; [0.11879629939660341]
DoubleSumSqrtsOfTwo; []; [-0.556657394522909, -0.3457793793365289, -0.037654168606882976, -0.8852878890339713, -0.9585784417602161]; []
DoubleProductOfTwo; [0.5163637003378743, -0.708670253648308, 0.6868549675728852]; [-0.07844540220355567, -0.4236503247963501, 0.2696422452155085, 0.6100936495594935, -0.38853391159703055]; [-0.040506358156320844, 0.30022838313161754, 0.18520511559377806]
DoubleSumOfTwo; [-0.5985635937613849, 0.6878724224354886, -0.6951852339821996]; [-0.08234996382403525, -0.28927020197818676, 0.2105632524195591, 0.19642633061292103]; [-0.6809135575854202, 0.39860222045730187, -0.48462198156264047]
DoubleSumOfTwo; [-0.5851391860899153, 0.24254905193802845, -0.7199443888786274, 0.8344556654504138]; [-0.7820610536286683, -0.9546829884962746, -0.28592531252508824, -0.16391789231911447, 0.8709942135008182]; [-1.3672002397185836, -0.7121339365582462, -1.0058697014037157, 0.6705377731312994]
DoubleSumSqrtsOfTwo; []; [-0.4744676408061279, 0.9268083023592573, 0.433950089569882, 0.6440462096368311]; []
DoubleProductOfTwo; [-0.630415744995688, -0.06044735666801371, -0.7774383430568885, 0.04480012142268919]; [0.8018722778742324]; [-0.5055129094474735]
DoubleProductOfTwo; [0.6458309344433983]; [0.07450176461613256, -0.06668496891667464]; [0.048115544259719]
DoubleSumSqrtsOfTwo; [0.5498988182965416]; [0.1572177375029029]; [1.1380585487489365]
DoubleProductOfTwo; [0.13720089613412778]; [-0.7301020876117736, -0.6422969771784659, -0.5200700226707085, -0.6771055061892117]; [-0.10017066068973282]
DoubleSumSqrtsOfTwo; [-0.7683627232565906, 0.9222092108385493]; []; []
DoubleSumOfTwo; [0.25857378945284726, 0.7688904991314978, -0.7994340161213518]; [0.7227658676063451]; [0.9813396570591923]
DoubleSumSqrtsOfTwo; [0.8722643216818307, -0.6277898809256157]; [0.9565229796914825]; [1.9119708484463018]
DoubleProductOfTwo; [0.37235392460023986]; [-0.22033566345009215, 0.6921202176059928, -0.6996395624642957, 0.8396463503526035]; [-0.08204284901503944]
DoubleSumSqrtsOfTwo; [-0.3166853454472869, -0.7339722615317268, -0.7117784385643893, 0.17430503247835127]; [0.8199586351326684, -0.3013387110985404, 0.2751921205314596, 0.21360213703395403]; [NaN, NaN, NaN, 0.8796696541761566]
DoubleProductOfTwo; [-0.5176103673599683, -0.23858308908870063, -0.9532925585420595, 0.1566587671168258]; [0.739680439833138, 0.17819854783265687, 0.4586738541518789, 0.8632943315332733, 0.24647992971991162]; [-0.38286626419101355, -0.04251516001303585, -0.4372503719607921, 0.13524262563694686]
DoubleSumOfTwo; [0.77603740835796, 0.21234241720776792]; [0.26768550062082896, -0.9816087475822204, -0.7567740462975134, 0.6575509061758622]; [1.043722908978789, -0.7692663303744525]
DoubleSumOfTwo; [-0.6072654178268007, -0.900725896686414, 0.8646579340637439]; [0.8480271446973113, 0.10925214914977777, -0.8423587412215807, -0.7064836693369732]; [0.24076172687051067, -0.7914737475366362, 0.022299192842163196]
DoubleProductOfTwo; [0.4650268174076502, 0.004760520690001213, -0.7768522702912044, -0.3295940352069817, -0.3193455850713194]; [0.5099287523254594]; [0.2371305447985623]
DoubleSumOfTwo; [-0.9895000417398194, 0.2154798820879813]; [-0.4502027633870973]; [-1.4397028051269167]
DoubleSumSqrtsOfTwo; [-0.22364801233326137, 0.5769386646141383, 0.7960620445659847]; [0.09967686922647645, -0.29240764425126686, -0.5792205791638383, 0.911722023761212]; [NaN, NaN, NaN]
DoubleSumOfTwo; []; []; []
DoubleSumSqrtsOfTwo; [-0.07139551483602635, -0.9838994941077639]; [0.5523211451639587, -0.9592899827521786]; [NaN, NaN]
DoubleSumOfTwo; [-0.16939879204542163, -0.7881594424914953, -0.4452378683874827, 0.3561143961943949, -0.2698751947098894]; [0.02414485799317534, -0.7984091992091435, 0.447056510675371, -0.9587781513840574]; [-0.1452539340522463, -1.5865686417006388, 0.0018186422878883057, -0.6026637551896625]
DoubleSumSqrtsOfTwo; [0.9165267889940234, -0.191753597122853, 0.8696908972794875, -0.5419986440351869, 0.07488455925357917]; [0.16967345259618072, 0.10473194938603703, 0.13840631133138515, -0.4672695789489152]; [1.369268431558417, NaN, 1.304602181278062, NaN]
DoubleSumSqrtsOfTwo; [-0.32827846330693045]; []; []
DoubleSumOfTwo; [0.8126815674089252]; [0.2608350742388452, 0.9427845141026605]; [1.0735166416477704]
DoubleProductOfTwo; []; []; []
DoubleSumSqrtsOfTwo; [0.9631699624506802, -0.84511488775678]; [-0.9867552040421468, 0.9124739595082891, 0.4364856735462015, 0.3879963023796904, 0.21694615312675558]; [NaN, NaN]
DoubleProductOfTwo; [-0.2084171590995907, 0.6892498475429081]; [0.941384540203082, -0.007623458233456892]; [-0.19620069148940078, -0.0052544674251598904]
DoubleProductOfTwo; []; [-0.6665003090429602, -0.8754819220850558, 0.7514717775571285, -0.8582816120341488]; []
DoubleSumOfTwo; []; [0.7472144829496361, -0.10279430190987093, 0.7539386466041984]; []
DoubleSumOfTwo; [-0.7466945809597927]; []; []
DoubleSumSqrtsOfTwo; [-0.6845816442641874, 0.5249191091956833, -0.8758068735190139, 0.9253393956752156]; [0.9747632907184203]; [NaN]
DoubleSumOfTwo; [-0.3445183645300278, 0.10844749249817287, -0.03848252237953642]; [0.03754261133373804, 0.7197300907876025, -0.897796376720907]; [-0.3069757531962898, 0.8281775832857754, -0.9362788991004434]
DoubleSumSqrtsOfTwo; [0.9087481690721773, -0.42024532833895933, -0.5030123154251964, -0.9901018162890907, 0.887212320619154]; []; []
DoubleProductOfTwo; [0.9287173118210599]; [-0.018054702409207923, -0.1410857452021319]; [-0.016767714687208796]
DoubleProductOfTwo; []; [0.3056037902376827]; []
DoubleSumSqrtsOfTwo; [0.15410180554572195]; []; []
DoubleSumOfTwo; []; [0.3655127761064181]; []
DoubleProductOfTwo; []; [0.1431169862630628]; []
DoubleSumOfTwo; [0.7594618478884405]; []; []
DoubleSumOfTwo; [-0.5005403801587476, -0.5714708759127591, 0.43552632750694653, 0.17808686939611063, 0.2870175961830792]; [-0.8039510470323958, -0.563309600038572, -0.8843925224955398, 0.9867208426619101]; [-1.3044914271911434, -1.1347804759513311, -0.44886619498859326, 1.1648077120580207]
DoubleProductOfTwo; [0.3112505489505679, -0.18522096020940948]; [-0.025653554483788588, -0.13879507467007923, 0.26183918354379343]; [-0.0079846829156125, 0.025707757002728763]
DoubleSumOfTwo; []; []; []
DoubleSumSqrtsOfTwo; []; []; []
DoubleProductOfTwo; [-0.05463265198336842, 0.9037101200161248]; []; []
DoubleSumSqrtsOfTwo; [-0.11841670805874416]; [-0.6718527121981752, -0.026665297252818077]; [NaN]
