Operator; Left array; Right array; Expected result
DoubleProductOfTwo; [0.23890820812861557, -0.9128828301204097, 0.23590853787155885, -0.47180607825759857, 0.6153266754417295, -0.30535181670660516, -0.0785620206399984, -0.25826456805197995, -0.398377234984191]; [0.9829375253568506, -0.0762507722753587, -0.3353165533024791, 0.2751662601218665, -0.08092233055394127, 0.5389016048178503]; [0.2348318428853808, 0.06960802079359632, -0.07910403781371848, -0.12982511405690808, -0.04979366862875337, -0.1645545840572356]
DoubleProductOfTwo; [0.6560154640853941, -0.3759842475133053, 0.467901246957273]; [-0.7293512863317346, 0.7788240406151086, 0.020568504118166686, 0.24306190225217494, 0.3366890588499809, 0.3340128746112181, 0.8970243697064457, 0.9941621119863482]; [-0.47846572258419207, -0.2928255708559435, 0.009624028724935996]
DoubleSumSqrtsOfTwo; [-0.7619093978922018, 0.7508217798890866, 0.36930789993436797]; [-0.2663018808618669, 0.44419500446131344]; [NaN, 1.5329792891527143]
DoubleSumSqrtsOfTwo; [0.232678906472926, -0.19195592511264414, -0.23732559142907017]; [-0.9714866130588455, 0.7932066269684288, -0.8303625098961749, -0.6286863819023101, 0.43682525430897434]; [NaN, NaN, NaN]
DoubleSumOfTwo; [-0.3839636589217259, -0.7225429797552758, 0.5713700201419643]; [0.4768987335890882, -0.9665852678839475, -0.8174182578240983, 0.859129839567665, 0.08995060739063465, -0.15758731134339432, 0.2355168858682799, -0.28673805816588205, 0.49716923144001646]; [0.09293507466736228, -1.6891282476392233, -0.24604823768213402]
DoubleProductOfTwo; [0.16387594648423698, -0.43525851661824877, 0.29925883202268966, -0.08967334596712884, 0.5980848518692117, 0.2849026503441212, -0.31771257678029463, -0.8462919275493861]; [0.042418543243136986, -0.0530753862685156, -0.25715411942301647, 0.2652918169309799, -0.7898528411774783, 0.4942537838080896, -0.05529743166194501]; [0.006951378922451608, 0.02310151389617467, -0.07695564142835516, -0.02378960488189997, -0.4723990195141081, 0.14081421294953503, 0.0175686895026488]
DoubleProductOfTwo; [-0.5716861934525879, 0.6258037171936572, 0.30391402896649145, 0.12216943292501714]; [-0.5699436495229069, 0.6714155631580938, -0.23200049442631787, 0.5338415129319078]; [0.32582891547822646, 0.4201743552060078, -0.0705082049833203, 0.06521911490672438]
DoubleSumSqrtsOfTwo; [-0.7470984860164473, -0.8807972314279122, 0.31068609958988636, -0.4274877937828414]; [-0.62660559778474, 0.5101806375300362, 0.7377943983003241]; [NaN, NaN, 1.4163418214494417]
DoubleProductOfTwo; [0.726051816136895, 0.8782640370342436, -0.2755710992721636, 0.3803916887418035]; [-0.34838516728041524, 0.6020521715847236, -0.862378452803779, -0.37912717286998454, -0.4443800535050937]; [-0.25294568341910145, 0.5287607707212324, 0.23764657822776505, -0.14421682553591908]
DoubleProductOfTwo; [-0.8507949268789277, 0.8697363734688812, -0.9205876452120576, 0.4645252274999805, -0.1158158345180722, 0.8056936449350842, 0.9906352455197123, -0.5735023796311121, 0.7563569223825306]; [-0.696000089668237, 0.11480424292872904, 0.2016559449591322, -0.8278695185056406, 0.8083023657526929, 0.9047777782150104]; [0.5921533453970148, 0.09984942590367324, -0.1856419715129398, -0.384566276424132, -0.09361421303258015, 0.7289737059863189]
DoubleSumSqrtsOfTwo; [0.5786430365426511, -0.9650048164807747]; [0.938086073390612, 0.5894422669940054, -0.9021380525092741, 0.5448471928425618, -0.941424488751095, 0.3362790124586863, 0.6667886144494233]; [1.7292343350051111, NaN]
DoubleProductOfTwo; [-0.6188368239700281, 0.8162296379724836, 0.7201768324108788, 0.32035154482777184, 0.4903027807845888, 0.6750469448340166]; [-0.6474448952424046, 0.2094479834116938, 0.8554182485567909, -0.8997724995426384]; [0.40066274266741725, 0.17095765167419358, 0.6160524046320915, -0.2882435102220298]
DoubleProductOfTwo; [-0.2856839855659745, 0.793242644235902]; [-0.6518473263819249, 0.7095635939496219, 0.9880965829585182, -0.8340251414837874, 0.04451288556545663, 0.44926236176856005, 0.9997450998993707, -0.5334229149868723, 0.23300470392373773]; [0.18622234218131292, 0.5628561015181279]
DoubleProductOfTwo; [0.649728914595533, 0.2558992175551582, 0.3994859991637292, -0.2486773620308349, 0.678168734633046]; [0.5039965108985738, -0.9623942810030592]; [0.32746110598606604, -0.24627594348824192]
DoubleProductOfTwo; [0.25858803492380766, 0.82869478882229, 0.24300101577353583, 0.2834610498300991]; [-0.41666607596757443, -0.9230460804512386, 0.17758251037355444, -0.3678440176417721, -0.6168624817669839, -0.6248854216425643]; [-0.10774486180386904, -0.7649234767127816, 0.04315273040438819, -0.10426945141445822]
DoubleProductOfTwo; [-0.26456137867118645, -0.7901683472065539, 0.010003562249966125]; [-0.7256136663743025, -0.5430971115353758, -0.5461044408439679, 0.6963068236371779]; [0.1919693519586398, 0.4291381469945613, -0.005462989768965576]
DoubleProductOfTwo; [0.836069856368048, -0.6820653779421684, -0.7436277997696696, -0.04069699196804755, 0.028463732929672858, -0.1379595978595083, -0.09069646079407367, 0.467922020054935, 0.1057832872079636]; [-0.606370787766833, 0.7712049879646412, 0.5237598860472079, -0.17342615339398626, 0.4247567182866674, -0.7838375527813843]; [-0.5069683374339962, -0.5260122215869885, -0.38948241166889813, 0.007057922771724441, 0.012090161789395992, 0.10813791356890089]
DoubleProductOfTwo; [0.7788888440095731, -0.20706998776058527, 0.06916814389666359, 0.13223197435939027, -0.15369120832206273, -0.3218402601053276, 0.14200042578647976, -0.9966167538838924]; [0.054565319865313766, -0.3406396158934595, -0.6495404055456153, -0.560694078463714, 0.7562641471527347, 0.9827027968430169, 0.1502408651490299, 0.9099753950810436]; [0.042500318912906836, 0.07053624109382912, -0.044927504237476344, -0.07414168500687579, -0.11623115058655806, -0.31627332374218947, 0.021334266821691334, -0.9068967243598822]
DoubleProductOfTwo; [-0.6790868977345548, -0.7369538755715657, 0.5944126448301565]; [-0.603046773278606]; [0.40952116245460196]
DoubleSumOfTwo; [-0.7742720648224333, -0.144164494282631, 0.8159392965148131, 0.6909756894731012, 0.5037394881487565, -0.5619373570189437, 0.6619693546697207, -0.8545388238017197]; [0.2167442760676459, -0.20360358362111364, -0.5625296053658888, -0.16185309481438415, -0.40865720177061293, 0.744420263887932, 0.7177437696425975]; [-0.5575277887547874, -0.34776807790374464, 0.2534096911489243, 0.529122594658717, 0.09508228637814353, 0.18248290686898838, 1.3797131243123182]
DoubleSumOfTwo; [-0.7018585024667339, -0.010486462910565875, -0.9227597278112682, 0.7538064708173964, -0.7767401297317973, -0.01912661175906094, -0.47944393129116203, 0.12157947480464437]; [0.9425838515250256, 0.4419786105679484]; [0.24072534905829168, 0.43149214765738253]
DoubleSumOfTwo; [-0.25738462721626054, 0.9552765610866625, -0.22822916424528272, -0.17127669724565164, 0.6713000109172318, 0.3573386863417103, -0.13628959061374335, -0.4489042038511366]; [-0.4050790830322195, 0.39171392791633597, -0.3252929914368894, -0.27474357046098685, 0.8241264305103411, 0.44423549403516605]; [-0.66246371024848, 1.3469904890029984, -0.5535221556821721, -0.4460202677066385, 1.4954264414275729, 0.8015741803768763]
DoubleProductOfTwo; [-0.25355470927989376, 0.4861026704508433, -0.946343394422545]; [0.6733028481939813]; [-0.1707191079311494]
DoubleProductOfTwo; [0.14657243133090692, -0.4858077582175213, -0.01349497442598313, -0.22397481121273444, 0.6158101717118536, 0.4640955732126981, -0.7306229103454573, 0.35943878613241553, 0.23708699754705176]; [-0.42304484994904756, 0.33716209662188734, 0.8333629879016975, -0.7277403248142416, 0.9182290782696299, 0.37546412492912284, -0.06908644607965275, -0.2954291386503365]; [-0.062006712219050596, -0.1637959623157984, -0.011246212209294297, 0.1629955018621638, 0.5654548063600379, 0.17425123827978536, 0.05047614030014041, -0.10618869098462204]
DoubleSumSqrtsOfTwo; [0.4023023575908511, -0.7159338049632824, 0.7146436901259277, 0.9800681052673224, -0.9511497874263823, -0.739471801618069, -0.7592619759764481, -0.5412129249460782]; [0.7615423749641055, 0.4219493937648655, 0.9306357966681122]; [1.5069370469133845, NaN, 1.8100606745579793]
DoubleSumOfTwo; [0.1665808253764791, -0.6721204915298569, 0.7442527710119251, -0.8610847672799233]; [-0.41894565874940537, -0.6903431955046389, 0.5221773728185877, -0.5917784741129508]; [-0.25236483337292626, -1.3624636870344957, 1.2664301438305128, -1.4528632413928741]
DoubleSumSqrtsOfTwo; [0.3901419764024172, 0.026751875963724414, 0.5394933347113062, -0.5335239337475444, -0.5705566765129528, 0.932638429692312, -0.8122192850711869, -0.8514436378239187, 0.33451184868671113]; [0.33822933548097533, 0.8834439654379651, 0.11409020526765912]; [1.2061883368070654, 1.1034770064539678, 1.072274516249251]
DoubleSumOfTwo; [0.836867821225947, -0.33864322529533086, 0.30645957572302085]; [0.4849596114428987, -0.9124142910264101, 0.1623984935555296, 0.22068358548876343, 0.3405647126428515]; [1.3218274326688457, -1.251057516321741, 0.46885806927855045]
DoubleProductOfTwo; [-0.09011549358674942, 0.47226537597705853, 0.934374734718449, 0.3858490523631908, 0.46222705322731605, -0.8728350937483231, 0.8209146021624607, 0.04654283605954945]; [-0.5639871001202876, 0.7952617672485751, -0.25646267438428216, 0.7480319753739624, 0.6170275782138213, -0.08644286175475879]; [0.050823975903899185, 0.37557459750982836, -0.23963224334299763, 0.28862742883540904, 0.28520683923776186, 0.07545036334358823]
DoubleProductOfTwo; [0.7142067465633015, -0.8012844852676093]; [0.4073883759366719, -0.9509865187188655, -0.33439062698541266, 0.1256654452647208, -0.2651936489917486]; [0.2909595265654376, 0.7620107431480819]
DoubleSumOfTwo; [-0.5438470544993839, 0.8265577814562772, 0.0998581169516164, -0.3314393666504194, 0.024062425475016802]; [-0.1350717463992026, -0.15980253161525648, -0.9833391283430797, 0.08893983811951678]; [-0.6789188008985865, 0.6667552498410207, -0.8834810113914633, -0.24249952853090262]
DoubleSumSqrtsOfTwo; [0.6985846022796502, -0.2999952064626523]; [-0.8037495342464962]; [NaN]
DoubleSumSqrtsOfTwo; [-0.5659799146124438, 0.6735672536291926, -0.08339733971614893, 0.7493823144402296, -0.7930771463682789, 0.6701564151269195, -0.35592698143175094, -0.9811234902651564]; [0.45516580900524195, -0.37875547881178506, 0.7912239904967675, -0.2959526699593309, 0.513791961216131, 0.9137827856469136, 0.2512510154070384, 0.2836655636027372, -0.42523870366256133]; [NaN, NaN, NaN, NaN, NaN, 1.774550680968641, NaN, NaN]
DoubleProductOfTwo; [-0.8071064165512307, -0.763466291449826, 0.6235996030332889, 0.4259612863724922, 0.19956936026128003, -0.878539941759847, -0.5208420088383994]; [-0.431607004160973, -0.5532930325766814, -0.5518745101614662, -0.9427673917704023]; [0.34835278248677504, 0.4224205796663467, -0.34414872546088104, -0.40158241094855984]
DoubleSumSqrtsOfTwo; [-0.29670678271795903, -0.22544694472974003, -0.4357951611076514, -0.6790785690207544, -0.07334418464776427, -0.8745335032304287, 0.7392507415350225]; [-0.7006130161902975, 0.8768192992553476, 0.23922991757736645, 0.5451235464068358, 0.3082847873980379, -0.4485104936517412]; [NaN, NaN, NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.6060281819342257, -0.21178881831055252, -0.30882539447642654]; [0.5437709039998213, -0.19591205565782643, 0.3455513408900486, -0.540094708350155, -0.9575184089050752, 0.8353801181443699]; [NaN, NaN, NaN]
DoubleProductOfTwo; [-0.1160795322332846]; [0.04204175171612334, 0.1002318930295325, 0.8089568582977833, 0.6304081687570726, -0.7640187201255011, 0.3934479382112732]; [-0.004880186873475488]
DoubleSumSqrtsOfTwo; [0.8392698227074049, 0.11494733050444172, 0.429484233218534, 0.9817258298161413, -0.11201178617306073]; [0.11972521182444029, 0.15492253762936858, 0.4196046923225296]; [1.2621300196456877, 0.732640837425291, 1.3031194774967154]
DoubleSumOfTwo; [-0.9857601479975389, -0.05264759180202638, -0.8653732860522578]; [0.982050272927973, -0.3369222141701278, -0.44087954454968203]; [-0.003709875069565882, -0.3895698059721542, -1.3062528306019399]
DoubleProductOfTwo; [-0.8877082929440501, 0.7356432444216245, 0.7578580135440407, -0.8633683305749056]; [-0.028521365679478494, 0.7206706898548683]; [0.02531865283976287, 0.5301565244444056]
DoubleProductOfTwo; [0.3485425882977251, 0.18453804069782676, -0.09017182584260186, -0.3949790199247343, -0.3832297284280568, -0.5809208889430009]; [-0.23232033632134952, -0.17101364014692177, 0.14986553260708657, 0.37656207943661646, -0.997632201757541, -0.5192194499368428, -0.4302162569253243, 0.927880144352855]; [-0.08097353133564116, -0.03155852208531615, -0.013513648706054981, -0.1487341210766947, 0.3823223177506268, 0.30162542441380663]
DoubleProductOfTwo; [-0.7454531892904632, 0.925780969420601, -0.16068003185864788, -0.30038163943794594, -0.0295293688533802, 0.5582098492454095, 0.8667356518077471]; [0.7792496523855574, -0.8757645226911397, -0.04782998458250831, -0.6087136149024566, 0.021376399485328212, 0.7265688110942046, -0.840344656061395, -0.44403868634768995]; [-0.5808941386242986, -0.8107661288011732, 0.007685323446516072, 0.18284639359259838, -6.312315851594634E-4, 0.40557786650731237, -0.7283566732145302]
DoubleSumSqrtsOfTwo; [-0.22607382370052265]; [-0.48817211872937105, -0.06364169941316988, -0.9399257179564728, -0.09233603732718954, -0.037551954589064795, 0.2718010677060152, -0.6668272262036106]; [NaN]
DoubleProductOfTwo; [-0.3406650529508872, -0.3398397459173059]; [-0.24148136188692226]; [0.08226426093386073]
DoubleSumOfTwo; [-0.21693877523547922]; [0.9882069515216441, -0.15412595261318263, 0.05572620896449476]; [0.7712681762861648]
DoubleSumSqrtsOfTwo; [0.8445613627992568, -0.10226736427024785, -0.9747980737112587, -0.0138937430324384]; [0.2919618158417667, -0.5114931183419664, 0.47417732659771095]; [1.4593351081996282, NaN, NaN]
DoubleProductOfTwo; [0.6500534165984548, 0.07693634336415722, -0.6143542208101587]; [-0.42020132472972205, 0.3499191753116331, 0.8150390932405802]; [-0.2731533067997526, 0.026921501821478528, -0.5007227070576349]
DoubleSumSqrtsOfTwo; [0.6231686482301106, 0.09260818972376517]; [0.0875002552451225]; [1.0852147373722283]
DoubleSumOfTwo; [-0.03228775567231157, -0.9300839926440991, -0.4264069842240439, -0.06878104079856673, -0.24692911636444204, 0.045990917589973535]; [-0.4147248127396974, 0.6451466069937386]; [-0.447012568412009, -0.28493738565036053]
DoubleSumOfTwo; [-0.13244299101243873, -0.09433640317398662, -0.4930666836865616, -0.36977698696668315, 0.21188319661647648, -0.9478683279759932, 0.24647860983959258, -0.5512694445289676, -0.011485655961419816]; [-0.8985167330757311, -0.42341490771660517, 0.9862817609914298, -0.22573581611953175]; [-1.0309597240881698, -0.5177513108905918, 0.49321507730486824, -0.5955128030862149]
DoubleSumOfTwo; [0.72766153104814, 0.3402522546579405, -0.3487151811012743, 0.4704116064770305, 0.09718328083619321]; [0.35105646327896656, -0.07994719529035632, -0.6059305170446962, 0.741817301421346, 0.4559256766741362, -0.9935733295732418, -0.8016332511462363, 0.21938124647690205]; [1.0787179943271066, 0.2603050593675842, -0.9546456981459706, 1.2122289078983766, 0.5531089575103294]
DoubleProductOfTwo; [0.9333501270524878]; [0.46798459684547566, -0.2046664426558651, 0.9772682154812629, 0.1675193553121488, -0.8433863939569191]; [0.43679348292433195]
DoubleProductOfTwo; [-0.995793818223192, 0.4602689463107097, -0.6310451044447558, 0.07942229692348657, 0.2591975099098174, 0.6937070268331795, -0.9952146659391812]; [-0.543322674165321, -0.6153936561131044, 0.3248583837798791]; [0.5410373602343203, -0.2832465896654738, -0.20500029272212836]
DoubleSumSqrtsOfTwo; [0.5568888028253511, 0.5466480660237196, -0.8185326593607609, 0.42007951078103645, -0.7562938041628917, -0.34705130876797496]; [0.3687713895497007, -0.8079780134911521, -0.578393452992531, -0.8618314886238412, 0.28361427299518405]; [1.353515327709291, NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.2707633911422678, 0.5242640523371491, 0.23828564286633647, 0.668459531168438, 0.13463904963349305]; [-0.39641623198224263, -0.9944383582551035, 0.8600300620137133, 0.8810104941548773, 0.8032929317822917, -0.19668249836894014, 0.743170401657131, 0.6441614339275705, 0.4263903121901764]; [NaN, NaN, 1.415523162074088, 1.7562153372070812, 1.2631980468710775]
DoubleProductOfTwo; [0.43419605956415186, 0.9443499365347148, -0.34303614852684894]; [0.6502265562087814, -0.7957831223822676, -0.08669371309741236, -0.7950896512438446, -0.6019344930418198]; [0.2823258085298214, -0.7514977411170916, 0.029739077442427975]
DoubleSumSqrtsOfTwo; [-0.9918654728075904, 0.7776547923225778, -0.4644374454174016, 0.3935539837374309, 0.8673131906629337, -0.8458807489713169]; [-0.8365826611636542, 0.004607641611391822, -0.7404653518520183, 0.46136658486567295, -0.05035309780560815, 0.12579595633810303, 0.05085871425208954, -0.2967430404124951]; [NaN, 0.9497269858936574, NaN, 1.3065785218621655, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.1618785014498494, -0.9466098145570141, 0.8728592328259406, 0.17764780845468953, 0.19357600219996351]; [-0.9251858247943692, -0.6157388385819951, 0.1147197748339217, -0.6852640119136553, 0.3243172820540803, -0.9857915213878878]; [NaN, NaN, 1.2729724354334386, NaN, 1.0094613434354178]
DoubleProductOfTwo; [-0.13988088536335752, -0.1153291385156523]; [-0.6507338196507775, 0.5050940075019479, 0.8920413172605262, -0.12740443776817822]; [0.09102522282863017, -0.058252056754618066]
DoubleSumSqrtsOfTwo; [-0.21346914258424143, 0.8560872044463328, -0.3022938794426262, -0.284205068536163, -0.4339820775984804, -0.8858019531254782, 0.33350514205531656, -0.5127016499979966, 0.1384822529840628]; [0.8679184799891171]; [NaN]
DoubleSumOfTwo; [-0.6455710016466394]; [0.1943850085360832, 0.3673272545923232, 0.2691860192340789, -0.2777897239979694, -0.6450461209471015, 0.9291803489395463, -0.057382559213098094]; [-0.4511859931105562]
DoubleSumSqrtsOfTwo; [0.28794692428578195, 0.5632446808256346, 0.3356102093757414]; [-0.7633368083676988]; [NaN]
DoubleProductOfTwo; [0.4937975929332463]; [-0.1166497000576916]; [-0.05760134110487328]
DoubleSumSqrtsOfTwo; [-0.9815708664497964, -0.07046320649721083, 0.04966992079520871]; [0.5984132055118765, -0.6863972338848738, -0.2765238062192974, 0.5146500563782228, 0.09535272967696473, 0.6338669966537631, -0.3559028679443026, -0.050749755324325685, 0.4794217846049482]; [NaN, NaN, NaN]
DoubleSumOfTwo; [0.6377307342737781]; [-0.1926973201367106, -0.896621058373954]; [0.44503341413706754]
DoubleSumOfTwo; [-0.1101541068694869, 0.7826202115198315, 0.9244141200778087, -0.033733296087319564, 0.4272502277647361, 0.29250002638210826, 0.3868943975311996, 0.928408782723994]; [-0.8944671821436412, 0.27538310660529497, -0.19476468219348497, -0.7080865545637147, 0.30529631275521574, -0.5062798908579873]; [-1.004621289013128, 1.0580033181251265, 0.7296494378843237, -0.7418198506510343, 0.7325465405199518, -0.21377986447587904]
DoubleProductOfTwo; [-0.5277141352244765, -0.5855265304439341, -0.1670971646139081]; [-0.8792622360074993]; [0.46399911051023707]
DoubleSumSqrtsOfTwo; [0.3794991707567479, -0.6164938059975231, -0.12132974901603566, -0.29162734638059273, 0.13528166748780457]; [0.7908357189809534, 0.9196808680549247, -0.4524746563077344, -0.5821715236461065, 0.914618602041068, 0.9271270008527868, -0.38106130557368156, 0.44053429528236165]; [1.5053244863223572, NaN, NaN, NaN, 1.3241635053944396]
DoubleProductOfTwo; [0.41404325414522725, 0.11507064349725371, 0.41308134906059757, 0.31627086077434585]; [0.5036606923055167]; [0.20853731202721415]
DoubleSumOfTwo; [0.906948374433278, 0.03999570789587059]; [0.17752554329108494, -0.5019671122291054, -0.20189569240790517, -0.7448517114831563, -0.5574009260877848, -0.39628763391270905, 0.35708852955945725]; [1.084473917724363, -0.4619714043332348]
DoubleSumOfTwo; [-0.7051018871333394]; [-0.28623658759398274, 0.8843963054691042, 0.7354110929026649, 0.7452769312250609, 0.4514829939693106, 0.43642421214992533, 0.7448939434851063, 0.0603531852251471]; [-0.9913384747273222]
DoubleProductOfTwo; [0.789507669790819, 0.9856191770128195, 0.8137175580933462, 0.8015298950483878, 0.6388464625113057, 0.35279818681403374, -0.05328843549392426, -0.8132951383575784, -0.42566383395079876]; [-0.46589333853665527, 0.1923913848160499, 0.11829904756027232, -0.09427878598376949, 0.5036607430751345, -0.9413030619502314, 0.5017382432178559, 0.8058641917029177]; [-0.3678263640791399, 0.18962463836675175, 0.09626201210551343, -0.07556726543486017, 0.32176188401936534, -0.3320900134985397, -0.026736846008549593, -0.6554054292884425]
DoubleProductOfTwo; [-0.730192812596735, 0.8213419181014674, -0.6289500631183029, -0.5980898584103098, -0.79735903571561, 0.7331351244635527, -0.894183187470005]; [0.3309299975475173, 0.19924761887416298, 0.7695896304623249, 0.853805254668895, -0.5802271367724701, 0.864465609721863]; [-0.24164270568185225, 0.16365042146325515, -0.4840334466544707, -0.5106522638748979, 0.4626493502729261, 0.633770102377899]
DoubleProductOfTwo; [-0.26441330325736634]; [0.16616566654550935]; [-0.04393641277926018]
DoubleSumOfTwo; [-0.13044155138593028, -0.44120787959464547, 0.3098169059825857, -0.1928195562874313, 0.6084457259922167, -0.09861540383212786]; [0.9181715907256534, -0.28188792146799746, 0.322015504171387, -0.8850631070411528, -0.7957870644526783, -0.8052169498582418, -0.9211910706384017, -0.5394613709130498]; [0.7877300393397231, -0.7230958010626429, 0.6318324101539727, -1.077882663328584, -0.18734133846046164, -0.9038323536903696]
DoubleSumOfTwo; [0.304302961888097, -0.518902846638521]; [0.43926616404920504, -0.06554629487562691, -0.8630751040302163, 0.18578927542007162, 0.4695132478430133, -0.6149183716385227]; [0.7435691259373021, -0.584449141514148]
DoubleSumSqrtsOfTwo; [-0.5198159254184864, 0.19727017247233514, 0.17714802237389038, -0.7428053850928817, -0.26157187033541285]; [-0.8984905675644421, 0.5443788105939962, 0.281870571160328, -0.011620233098978083, 0.5004786627197824, 0.5545733521191933]; [NaN, 1.1819713799312894, 0.9518044043855616, NaN, NaN]
DoubleSumOfTwo; [0.6043701954943907, -0.8528722192543996, 0.08375550755219185, 0.3914782244274577]; [-0.9214645584169139, 0.9187763961976203, 0.8234661281092643]; [-0.31709436292252313, 0.0659041769432207, 0.9072216356614562]
DoubleProductOfTwo; [0.33607178705780916, 0.755113824256626, 0.5535044998893284, -0.7571772435583308, 0.7942173175064473]; [-0.04725873108476564, -0.6077586237159034, 0.3510907319625256]; [-0.015882326209741622, -0.45892693857905953, 0.19433030001069598]
DoubleProductOfTwo; [0.35898645001046203, -0.27585498107878137, 0.6721163609179943]; [0.5428979544181969, 0.8447247917285796, -0.9835447429407398, 0.13229560040344657, -0.47262335500652686]; [0.19489300937453014, -0.23302154143906487, -0.6610565134253542]
DoubleSumOfTwo; [0.8256361155189136, 0.3733432327851727, 0.5867697355535573, 0.18270728707741957, 0.36986443363426114]; [-0.36196899812175776, 0.8201111574096216, -0.8757889958832226, -0.6192448617474737, 0.790046061480538, -0.08582800054622619, 0.729215592991336]; [0.4636671173971558, 1.1934543901947943, -0.2890192603296653, -0.43653757467005416, 1.1599104951147992]
DoubleProductOfTwo; [0.2401816337747964, -0.21507685825642953, 0.42814672625868244, -0.6205010127720962, 0.29452476345489953]; [-0.9351172483820234, -0.26862236121019833, 0.7621901975800851, -0.8679027465731006, -0.7301562325288915, 0.22773286254508252, -0.7874108111817051, -0.4284924939632724, 0.6019571873398506]; [-0.22459798848738646, 0.05777445350651324, 0.32632923788037177, 0.538534533236293, -0.2150490916706924]
DoubleProductOfTwo; [0.21234121162174424, 0.28744112441826153, -0.18633942631146905, -0.7168258693474538]; [-0.3340795884526535, 0.024782323205038148, -0.6942027539540767, 0.594191319613981, -0.581111043150951, 0.6765509678001258, 0.5241748873832277, -0.9055564422884625]; [-0.07093886459013012, 0.00712345884775294, 0.12935734291564455, -0.4259317092410027]
DoubleProductOfTwo; [-0.1930960216041957, -0.907265051499579, -0.8973020956871156, 0.7966425735495333, 0.19142225167242, 0.3909063171294962, -0.4819927845118974, -0.6943117406748123]; [-0.46666718934186346, 0.06257167023438126, 0.8872427350543419]; [0.09011157767512576, -0.05676908961761059, -0.7961247655474293]
DoubleSumSqrtsOfTwo; [0.23060737575791812]; [0.5846643676174481, 0.24784340601107635, -0.6571046938186675, -0.4604973571049453, 0.20282229055409395]; [1.244849453636029]
DoubleSumOfTwo; [0.5525176816680286, -0.08013285606284892, -0.04867684015157381, -0.20623551398415674, 0.4867205769635865, -0.07693566300253374, 0.9445953557722344]; [0.9549778407521801, -0.6281358986665557, -0.6604530955273127, 0.5120817222383847, 0.016069961058472915]; [1.5074955224202087, -0.7082687547294046, -0.7091299356788865, 0.3058462082542279, 0.5027905380220594]
