First operator; Second operator; Init; Left array; Right array; Expected result
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.6509562622518388, 0.5267389102305475, 0.8027832075543926, -0.033562575551411955, 0.045866407925892805, 0.35299277203726986, 0.21767551706039345, 0.6195280885717207, 0.6753837879487026]; [-0.08931473143290547, -0.05414267502290482, 0.580424064083592]; 0.007725982234484599
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.5180731965657555, -0.12822100123902236, -0.22738552087084063, -0.6766014207909825, 0.26614572443242035]; [0.6857670385539223, 0.5351344196166878, 0.6675234202406304, -0.4125711962057932, -0.6959909026234199, -0.6458672279646911, 0.937113682570808, -0.7750805941757857, -0.3350885434536841]; NaN
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.487186541113074, 0.2650047414016097, 0.28528620515466496, -0.22331921884433403, 0.8711621805987211, 0.5599620268153773, -0.7748699428508907]; [-0.6933509896512933]; 3.3779127042554036
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.29146493585415056]; [-0.6119589144299502, 0.5500514213511072, 0.47093110444175523, -0.5486674332379251, -0.44127015554621285, 0.759042873160386, -0.2845564260854194, -0.3665953588215658]; -1.7836456573970105
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [-0.4397784531491551, -0.7779881511859097, 0.18907767653484986, -0.39370517465723376]; [0.1541822370793049, 0.10987945408298327, -0.6679143069156406, -0.45076800977579023, -0.5811081004620906, -0.7591581317428167, 0.037505176795435524]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.8767592662713946, 0.32065446482513504, 0.7630211449583917, -0.20928789730835828, -0.7454034732308235, -0.5031126769519756, 0.9628733315754467]; [-0.04804189074360665, 0.9716810854972018, -0.6496836088277484, 0.17036195193345383, 0.9190136687490815, 0.7242536393888113, -0.2177809990565358, 0.7260462573478359]; 8.56320534150684
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.29180446777215563]; [0.014545323331183635, 0.933671939679849, -0.7181269393650267, 0.35819410588739387, -0.11752636651408044, 0.15727746762017047, -0.6733968354801259]; 6.607932826793346
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.22983069865060335, -0.18733485100606795, -0.8921431726293403, 0.7584422707224758, 0.7792425727296044, -0.03113473045163362, 0.31911480882844034, -0.4284112174388557, -0.8358681877668281]; [-0.6882960898723343, 0.9242962078262351, 0.28004967140645376, 0.17208173541480365, 0.11867715064519602, 0.282368842922637, 0.571217807714721, -0.12134143481173565, -0.29940464077436113]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.18728556323024836, -0.13665660643492572, -0.8158452553197661, 0.6966389787151119, -0.9336090133244634]; [0.9351738592434098, 0.6789847156172557, 0.23055333122055233, -0.8849434768816011, 0.6026768377524896, -0.01498700016196719, -0.5765945184877541]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.3318589631380531, -0.4630991401227216, 0.22985584060450748]; [0.2837153240933339, -0.7251089168165772, 0.7486704239701902]; NaN
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.36653264470608105, 0.8336652532805977, 0.9224108843715995]; [-0.9900492456734358, -0.6789164025208116]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.5195177408987208, -0.3561544408329109, -0.4616395901160548, -0.5761345076896729, 0.1049772663185975]; [-0.6490600400777269, -0.3595511652320691, 0.2883466352982589, 0.1146173901285541, 0.14664791310045322, -0.30900305581073484]; 7.7325317199987085
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.18805732189973856, 0.7963972518016844]; [0.6019846814528913, -0.18025969595390645]; NaN
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.6845382155013253, 0.7051659384034734, -0.477669959756011]; [-0.01644599388394341, 0.0296121101261948, 0.5359568411348057]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.5819044489478145, -0.2787205203907639, -0.6553131644637069, -0.045740996769161546]; [0.8711582218552008, -0.17998596147466284, -0.5331517172701006, -0.8039424977100418]; -6.730739123659401
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.880326918708062, -0.6341751036087893, -0.17838142083697583, 0.8998634888965285, 0.7334238238736484, 0.20848910602481485, -0.5387603251412914]; [0.5958422667088001, -0.40954529951066565, 0.739002620629776, 0.0012479407003507248, -0.44745895295034255, 0.0516565674824816, 0.06024172828290575, 0.30776033021082694, -0.7303928528849886]; 11.961773359259302
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.873923656366977, 0.12530018346767502]; [-0.9582655048472337, 0.8052779684345923, -0.13217634136952539, -0.7753323777006522, -0.1362701876680017, 0.34031564414777704]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.8631562592910844, -0.6774465089707058, 0.6124638495481525, 0.9054492169932369]; [-0.8929235978809251, 0.17430274385276356, 0.09272245857486383, -0.9627223091818924, -0.8766213491169914, 0.9009897903719579, 0.24294906176154973]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.2779785551110383, 0.2996072744140772]; [0.7539172940170045, -0.5998975946466814, 0.8970564476005374, -0.146228947325574, -0.8291116523499769, 0.1391398355290876, 0.9887574910911248, -0.40782018905666395]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.9077591852747564, 0.7367470254379989, 0.18666523593506534, -0.8169687316443661, -0.9770777095801411, 0.6937011824491679]; [-0.3626145404339729, -0.09910600108194134, 0.7990092605912116]; 3.4262695034942205
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.052478485103434336, 0.5881166371438884, 0.37705900179362106, -0.6947569828958646, 0.4168242326952212]; [0.9682941298441694]; 4.119260233019492
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.5567492781193581, 0.23551116230763802, -0.6589330723017959, 0.6833871621248842, -0.45730884251956727, -0.09862912113675426, 0.5141320028242247]; [-0.010682626267935813, -0.7044319655972975, -0.18416193028815697, -0.04253600674534064, -0.7211410921212191, -0.7346084621527558, 0.17295352199112757, 0.8382423106669754, 0.8867706073932689]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.9438419714839987, 0.7097585911977573, 0.5103356258648297, 0.10830156152849102, 0.056144510127778435, 0.9314553129612415, 0.4405502433529589, -0.47389882710451015, -0.3479361267690795]; [0.4871647898303548, -0.5200497025775288]; 2.714747022969786
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.046542982746267114]; [-0.29088460286145623, 0.6028394577573923, 0.4497931284150296, 0.8271725054314076, 0.027106858901158715, 0.9095247027339393, -0.6661110411633875]; 9.662572414392276
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.7212887300030355]; [-0.8283603912641031, 0.7493064313302478, -0.49604004790925926, 0.8032444820215137, -0.9847853580710035, 0.09792163276543997]; -5.974870145997025
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.351837905041652, 0.5169589207724437]; [0.028103968671976842, 0.6121497476689495, 0.4621083088759954, -0.4472869893910849]; 10.326344314366969
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.8871638963240933, -0.008257203591836904, 0.031070134936289184, -0.7484044662044032, -0.8007184765473807]; [0.8397933270786078, -0.377349188453306, -0.007329683418756394, 0.1771626436152327, 0.5120800980859614]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.5491775266224517]; [0.8239121051379839, 0.9586835114367169]; 4.4463186143724815
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.9349289409806036, 0.17467394139592085, -0.37665064184134756]; [-0.07295398227734795]; 8.992117076742048
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.3439050038856597, -0.7393832481875979, 0.414742159917985, 0.8674898830882574, 0.4958128618015236]; [0.10885128280350642, -0.8874854421600611, -0.9126674094651821]; 10.31510471709067
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.7510808362306616, -0.2963688247306202, -0.06644832982346927, 0.7296219761147062, -0.8172016111652392, -0.6854855949924297, -0.01113880643899301, -0.5732964754559053]; [-0.6617261782563528, -0.9058892756231929, -0.844008764678525, 0.16851878110644392, 0.12914165454668036, -0.9105565902993094, 0.23348594968209468, 0.8014671243695608]; 7.242943597426101E-7
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.8261734434320083, 0.7829534797186946, 0.5915508466162585, 0.9271801480911874, 0.9051685790344752, -0.2110607996737568]; [-0.9415082685827993, 0.13657103862025943, -0.8123441974689005]; 3.5888340209811185
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.6534902118070538, 0.6203797768074679]; [0.4930391891819699, -0.06714937974361912, 0.8407411457264509, 0.6617881550373654, -0.030274943543830757, 0.25823698201826506, 0.9355349740890218, -0.0616660949820953]; -0.13422090573096496
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.14922563330835992, -0.8961439989107469, -0.14764832752295343]; [-0.752848571591145, 0.9101967055966962]; 9.410429768403164
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.09726168687962566, -0.5873755176132123, 0.8493132117148636, -0.9462157491453531, 0.8952821619943216, 0.03733043037996553, 0.09860492988976999, 0.8638419851863639, 0.9843667294066396]; [0.49900806469967596, -0.5560483206255713, 0.4484088972006135]; 10.658914404649149
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.6471309019141855, -0.3128790189407147, -0.0018159339643202266, 0.3759343492383391, 0.35098824276361906, -0.8370487457518148]; [-0.7962777408543176, 0.5982565463083631, -0.8344104151766663, -0.08502795681578323, 0.7761472376784448, -0.05664651569607848, -0.18091467421460905]; -0.10429812776463922
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.8270844899560845]; [-0.9304804883353359, -0.4355978237247906, -0.6838198125203598, -0.6014840090553708, 0.2826954070440617, -0.35230239196375357, 0.41711351022013465, -0.3568239201172625, -0.48621790941634657]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.5895017329515135, 0.7708391932700864, -0.6524329881680593, -0.42973669753225363, -0.03911942102341048]; [-0.6976799985245952, 0.35544130960899856, 0.6552178706807117]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.05479928900455944]; [-0.4270093409588738, 0.4237017544613053, -0.42455585757551173, -0.9252229177044762, -0.7349131515859377, 0.8330348324028372, 0.9551941126324752]; -4.8180862996343325
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.6019236597276854, -0.3153251511406643, -0.161815678855034, -0.9103891590725219, 0.6064781503927972]; [-0.7651392617137529, 0.6442043144674285, -0.46514484660925337]; 9.411578481683005
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.4425135361209529, 0.17979501491250516, -0.645201221320586, 0.30729573992541726, 0.030719523128957205]; [0.701732477569998, 0.9111182653740384, -0.34796988144599195, -0.3087859181531265, 0.2475450324211994, -0.5758486152170708, 0.741391994663888, 0.6910453599123352, -0.5322719055445446]; NaN
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.4988859619012549, -0.6230066904128244, -0.5139454536706964, 0.6700798876256557, -0.8239953543363054, 0.7942384043220472, 0.7412698233155752]; [0.6418748174603472, 0.8767592571656035, 0.006139270542397046, -0.526724554186139, 0.9384922770610127, 0.49620678796305673]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.7736507095816958, 0.8687988825325459, -0.706896685431271]; [0.08128915918018143]; 8.549398687618773
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.7473641721158535, -0.6776981971441867, -0.32884314475025866, 0.9147777919786426, -0.3570382992170458, -0.8486246519118559, -0.3249499714740349, 0.8359825461042383, 0.7531169441586445]; [-0.8227416953205473]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.4985054933323996, 0.5317156737200353]; [0.29413251757366154, -0.10119136325436351, 0.4368209479784395, 0.2260385226310908]; 10.092821641890716
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.07052184242978643, -0.6582218959720234, 0.0782956073062211, 0.7070845054284254, 0.6329977370264666]; [-0.16874702162137512, -0.2662200800659169, 0.9515169415298557, 0.7448368803382732, 0.9136404454405411, -0.5945658117642338, 0.7419475193862348, 0.26570694405512096, -0.5544043021372658]; 1.4520473218399528
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.6524240502262644, 0.6199045346030159, 0.3927206706242916, 0.4708003332599675, 0.08041981662256115, -0.7232924851949742]; [-0.9245752894483192, -0.0784816550190488, -0.13659173072299358, 0.05686990644524115]; -0.19914443439661828
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.54145488984753, 0.4103717961951008, -0.2995342745683758, -0.36658347319029794, 0.4783523774307086, 0.4187931845662243]; [0.9167819823711074, -0.8882308846718274, -0.40755567219233435, -0.9578716925319974, -0.9626345361950859, 0.828618124696729]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.6481330742638602, -0.8826222546305533, 0.09349995624293439]; [0.9344649736956125, -0.7674832002878693, -0.9619181293334991, 0.16616480710487935, 0.48328437299018123, -0.5022964951986011, -0.14813073067581883, -0.7727296239113715]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.20002222472750963]; [0.41754840808213234, -0.660296131603723, -0.7912985197806917, 0.35640985389787083, -0.2923458732208801, 0.6918826090624322, 0.41080215029968326, -0.7421587344788201]; 10.617570632809642
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.22827561288344445, 0.12435006302152152]; [-0.14392439038623994, -0.2711743659424495, 0.5901610009874816, -0.6800871359901373]; 9.93342502208094
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [5.140245016073131E-4, 0.6817927968655724, 0.896251240127421, 0.9324519674198364, 0.3341133204289617, 0.36379526125106043]; [0.07755107211188328, 0.5582463774205704, -0.16623159824250178, -0.8020841235580745, -0.8806247509116814, 0.5570378542089167, 0.9758861407897139]; -1.0080129546612919E-6
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [-0.7290444303317136, 0.6245640222104325, -0.10351827259348001, 0.07269187917727193]; [0.4662421279556517, -0.3768469730129329, -0.2028554962163951, 0.06534846570991681]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [1.648413347901112E-4]; [-0.6866272873421195, -0.6287761574165658]; 9.31353755399267
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.5886451146703156, 0.6933082999107352, 0.5067437969395694]; [0.676684047405617, 0.11615554904516401, -0.30817953846494595, 0.9504250723000089, 0.6495132181149454]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.3014048536461704, -0.4480801479743286, 0.41286143439498924]; [0.2303265139462145, -0.7502750237679121]; 10.40560487289816
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.3897911308350608, -0.5558304480447263]; [0.6675531392593907, 0.3871202078603748, -0.6152720134803464, 0.06059044177488526, -0.5420377869932975, 0.8366034455159783, -0.6135495684163847]; 10.10905176823998
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.7472727138699495, -0.32370273926991544]; [-0.2308941477027029, 0.16818260855294032]; 10.118099725284342
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.8198205489555501, 0.5493050547553473]; [-0.934797906472081, -0.3023987746653003, -0.8094276182702864, 0.04545995723513019]; 8.492287824662416
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.19446521636994696]; [0.21342379696287872, 0.388874720804655, -0.019799343916465872, 0.6019621184071549, 0.6084747844405389, -0.6167156461995975, 0.6775121362343162, -0.41190730479826887, -0.9193254174960943]; 0.18958580592931762
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.046856101944687145, -0.41779956227211934, -0.9929863169898014, -0.6972539788432162, 0.6594333979268094, 0.3832246749594117, -0.23434295579830677, -0.3163036220633779]; [0.6323382215655369, 0.1869651298274595, -0.9306091204174922, -0.5701001406494468, 0.16866286204754832, 0.07032254526444226, -0.6929369999083748, -0.9391286378084587, -0.3251008941056128]; 6.356341598785301
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.9470598889406403, 0.725863994998386, 0.7945869194997883, -0.4849701989714654]; [0.09681156483484155, 0.11701858999588288, -0.21052738839035534]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.7860988875925361, -0.0652964947824497]; [0.7274534225668605, 0.6149493170177316, 0.19466721679671872, -0.35945959381161874]; 12.063205132394678
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.9192320496746753, 0.5196856695377354]; [0.8264507734730147, 0.12003403686311698, 0.7176859081662261, 0.07647839135949375]; 12.935210838455363
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.3731701044452802, -0.5634391996254189, 0.3208133828702442, 0.6049431966469132]; [-0.2521923220101445, -0.6695463066866041, 0.8866571041759814, 0.4079670848879331, -0.43261313626658127]; NaN
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.2661522825606899, -0.5279870858728344, 0.30513596111848096, 0.15022561073040652, -0.7073845914317218, 0.8649618193234205, -0.7938800636547776, -0.8061781175352616, -0.17705725631665836]; [-0.7646407299893951, 0.53926200478071]; -0.5794430324051878
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.09236783422025674, -0.6413866848443288, 0.021555148152061054, 0.2353824691341755, -0.3491937311696309]; [-0.013917517514940192, -0.7217408583100224, 0.6640771698349635, -0.8054889558150642]; 8.8308486048571
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.9820600374984023, -0.1703932227999907, 0.4295528051452544, -0.6545953558951969, -0.778624994999014]; [-0.9968782444498321]; 9.789942861257435
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.7446914608674595, 0.5732167094094498, -0.20322743531288445, -0.5355889891544905, 0.3217382529088082, -0.21902265409452615, 0.5925866394503136]; [0.7290699130594347]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.6320055932255797, -0.3532697014452293, -0.35384925116252863, 0.2974146201926795, 0.6292188514422767, 0.21884163928796263, 0.5561016335588074]; [0.03930060106196609, 0.25251243630339393, -0.6498301229565526, -0.5793912105210344, -0.5495742714930594, 0.21978081228700597]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.04324589230659859, -0.8833830658352324, 0.7081576744741422, 0.002858803696897727, -0.20043205123712826, -0.45117593004795187, -0.9259341485257007]; [-0.8139177863665625, -0.4867231196733204, 0.16313516990538113, 0.12197858437234532, 0.11374086159854713, 0.9438278617855917, -0.5021554374989794, 0.5145272180092211]; NaN
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.745386900732226, 0.5070901811807056, -0.16318220213590284, -0.3922215567870808, -0.5769540717184123]; [-0.756342107104016]; 5.637674991075437
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.8675416056677843]; [-0.9673012435160384, 0.2558133346166882]; 10.83917407396435
