Predicate; Input array; Output array
IsNotNaN; [0.3374056733947186, NaN, 0.5361012869475199, -0.8711690555839675, -0.13622937706929505, -0.28532654027893445, 0.7391488590011672, -0.20462645936678392, 0.279908037652159]; [0.3374056733947186, 0.5361012869475199, -0.8711690555839675, -0.13622937706929505, -0.28532654027893445, 0.7391488590011672, -0.20462645936678392, 0.279908037652159]
IsPositive; [-0.38988048839515566, 0.9795759717974732, 0.3169548737109087, 0.11568601778492282, -0.5101761759691792, 0.9969602857368465, -0.923838648055511, 0.49971197225403796, 0.5613911959114954]; [0.9795759717974732, 0.3169548737109087, 0.11568601778492282, 0.9969602857368465, 0.49971197225403796, 0.5613911959114954]
DivisibleByTwo; [0.9512960937778274, 0.45562988984052777, -0.3707685844407287, -0.019983091924960394, 0.2026967647572362, 0.620169749701377]; []
IsPositive; [0.9988707523967759, 0.3233088384392686]; [0.9988707523967759, 0.3233088384392686]
IsPositive; [0.5866663358655924, -0.009120687034442687]; [0.5866663358655924]
DivisibleByTwo; [-0.2022906828316542, -0.3364692117284285, -0.18194162322533725, 0.6698649439404425, 0.6595564639241149, -0.06955592452571335, -0.661520359429506, -0.3535672426736418]; []
DivisibleByTwo; [-0.9608009220540534, 0.48643859925216915, 0.9160380775409735, -0.9996092169885769, -0.1122231292404221, -0.12333840165938703, -0.38702551959065734]; []
IsPositive; [0.5153645646891902, -0.9866672742868192, -0.42963353964806306]; [0.5153645646891902]
IsNotNaN; [-0.6441421295318157, 0.1247940203465352, 0.5379757741803792, NaN, -0.7253341708174048, -0.5644537659943685, 0.20098604135553821, -0.9111694320756429]; [-0.6441421295318157, 0.1247940203465352, 0.5379757741803792, -0.7253341708174048, -0.5644537659943685, 0.20098604135553821, -0.9111694320756429]
DivisibleByTwo; [0.22121063046410372, -0.7911561350206842, 0.9075800644037768, -0.17125913477862853, -0.565986337764484, -0.8745260095353682, -0.11405308598766584]; []
IsNotNaN; [-0.586284194481981]; [-0.586284194481981]
IsPositive; [-0.8141294831790371, -0.5779910107243575, 0.09055545051221925, -0.9499187968881448, 0.43199040734881455, -0.942964494409843, 0.07762385469983024, -0.8665415599819861]; [0.09055545051221925, 0.43199040734881455, 0.07762385469983024]
IsPositive; [0.970733489934178, -0.048845868291142125, 0.4790332198220939, 0.10321698370169896]; [0.970733489934178, 0.4790332198220939, 0.10321698370169896]
IsPositive; [-0.5643893470994774, -0.4582226861048, -0.5861427979879374, 0.044495687921795035, -0.44364854916544116, 0.4035191552172601, -0.2979287504811934, -0.9018445041766248]; [0.044495687921795035, 0.4035191552172601]
IsPositive; [-0.44151497331769707, 0.007235969169632428, -0.4171050648547836, -0.28245612951371823]; [0.007235969169632428]
IsNotNaN; [-0.684978317776129, -0.17445746493689018]; [-0.684978317776129, -0.17445746493689018]
IsPositive; [-0.2093890786915782, -0.3980346730974047, 0.9204609708666713, 0.9398944710115158]; [0.9204609708666713, 0.9398944710115158]
IsPositive; [-0.6964034333372691]; []
DivisibleByTwo; [0.7402687912821917, 0.7264948268749956, -0.9359078185651013, -0.14230718081811244, -0.5860215135363394, 0.5604133844907657, -0.5286716989196305, -0.5970733124797372]; []
IsPositive; [0.23790962275870497, 0.8413631863947246, -0.3033339077473267, -0.9170057829522573]; [0.23790962275870497, 0.8413631863947246]
DivisibleByTwo; [0.35722714667666255, 0.6162464433428321, -0.9158987861259791, -0.9701988549706253, -0.22658019875600277, -0.8438076473069815]; []
IsNotNaN; [-0.7428747503201636]; [-0.7428747503201636]
DivisibleByTwo; [-0.7092504773042057, 0.43767909914379977, 0.6861704775878938, 0.4139755238388898]; []
DivisibleByTwo; [-0.4556516349477655, 0.2286870067462845, 0.06445850649972718, 0.9835208236675503, 0.9101180408533298]; []
DivisibleByTwo; [0.2228327265148924, 0.7853154107338685, 0.6249977339699078, -0.8783518714460659, 0.7683942815682836]; []
IsNotNaN; [-0.4526461858726829]; [-0.4526461858726829]
DivisibleByTwo; [0.8145793626338611, 0.6070593426278403, -0.2087646055857304, -0.18825620909158913, -0.6659772573073564, -0.3909897010964456, -0.5119140712783439, 0.2685226591519527, 0.861406917016581]; []
DivisibleByTwo; [-0.6232189041638578]; []
DivisibleByTwo; [-0.895512998957745, 0.9359254991930339, -0.4387605141594031, -0.32414372801341784, -0.15200036679327011, -0.26320932172451594]; []
IsNotNaN; [NaN, NaN, -0.8467087660722321, -0.17226272970708356, 0.6832593282704367, 0.7952654816070319, -0.5057724022221219, NaN]; [-0.8467087660722321, -0.17226272970708356, 0.6832593282704367, 0.7952654816070319, -0.5057724022221219]
DivisibleByTwo; [-0.6220433308825764, 0.3528181851052441]; []
DivisibleByTwo; [-0.27088240260139296, 0.13504864835294517, 0.8653309410966579, -0.9037509383103737, 0.5687694028585508, -0.5593384020590271]; []
IsPositive; [0.8614558105530943]; [0.8614558105530943]
IsPositive; [0.7570615810283328, 0.17303573206581047, -0.8720422036795286, 0.9492436198383658, 0.6258140557428287]; [0.7570615810283328, 0.17303573206581047, 0.9492436198383658, 0.6258140557428287]
IsPositive; [-0.8899608412910744]; []
IsNotNaN; [0.11754041444118513]; [0.11754041444118513]
IsNotNaN; [-0.5167751075873082, -0.3361649061926153, -0.04671438857069532, NaN, 0.2734812446400534, 0.059879872761734454, -0.3546110110420899]; [-0.5167751075873082, -0.3361649061926153, -0.04671438857069532, 0.2734812446400534, 0.059879872761734454, -0.3546110110420899]
DivisibleByTwo; [-0.14951909485917825]; []
IsPositive; [-0.2160991405412418]; []
IsPositive; [-0.544335090724321, 0.42314527101168187, -0.8004358557122417, -0.5978098657398905]; [0.42314527101168187]
DivisibleByTwo; [-0.5978901415090301, -0.4227884224847567, -0.32070965709469546, 0.9738415328925103, 0.25850588839528155, -0.3893411644365421]; []
DivisibleByTwo; [-0.17193746341796867, -0.7604772881331394, -0.29027970782578527, 0.4641847269462607, -0.9193106364827519, 0.07511806755965611, -0.6480621944368552]; []
DivisibleByTwo; [0.391787796147671, 0.31477832602668854, 0.505919384969693, -0.6146702477836972]; []
IsPositive; [-0.2007805168666712, 0.2007434429332835, -0.6487727406172936, -0.6475670837533256, 0.8985470956531172]; [0.2007434429332835, 0.8985470956531172]
IsNotNaN; [-0.5134091805968195, 0.05289191353072953, NaN, -0.6143248233621228, 0.46778746277517214, NaN, NaN]; [-0.5134091805968195, 0.05289191353072953, -0.6143248233621228, 0.46778746277517214]
DivisibleByTwo; [0.5136896450963371, -0.6758405523290889, 0.9928698788230619, -0.2960947208500977, 0.9134036359416007, 0.7499058772101375, 0.5938710854254867]; []
DivisibleByTwo; [0.5485689840935049, -0.6964993644534474, -0.6405450303126705, 0.12067309494734002, 0.7115718645785971, -0.16381525421097098, 0.721031210442189, 0.22126450915835516]; []
IsPositive; [-0.5847265176526866, -0.7597348660767795, 0.5514404260979269, 0.6031729613807113, -0.01238301710636569]; [0.5514404260979269, 0.6031729613807113]
IsNotNaN; [-0.847883783242352]; [-0.847883783242352]
DivisibleByTwo; [-0.4002769149550225, 0.8436707837118169, -0.06579761418652175, 0.065970789436397, 0.05396410695662124, 0.41370412325494943, -0.41481671915718543, -0.8114799776001735]; []
DivisibleByTwo; [0.9246904358521504, -0.6930350166194967, -0.5528253554335623, -0.851191650841965]; []
DivisibleByTwo; [0.7899265954713317, -0.5122099513146221, -0.27174882676954293, -0.007072032248615079]; []
IsNotNaN; [0.5311194821647811, 0.006335750338795965]; [0.5311194821647811, 0.006335750338795965]
IsNotNaN; [-0.8454957717589584, -0.8159671027208217, NaN, -0.9232552607863844]; [-0.8454957717589584, -0.8159671027208217, -0.9232552607863844]
IsPositive; [0.15951830573328252, -0.5682914375710022, -0.6081303489441634, 0.6737858602889439, -0.19648308717293972, 0.09074745855872779, -0.5995427679366898]; [0.15951830573328252, 0.6737858602889439, 0.09074745855872779]
IsNotNaN; [-0.7242877097617246]; [-0.7242877097617246]
IsNotNaN; [0.36681900013000823, 0.5978984816751292, NaN]; [0.36681900013000823, 0.5978984816751292]
IsPositive; [0.26585221458390174, 0.46263815930590524, -0.04382777675454674, -0.79731416470878, -0.7972920072883951, 0.7271461857863624]; [0.26585221458390174, 0.46263815930590524, 0.7271461857863624]
IsPositive; [0.6298001180204382, -0.6301087846610172, 0.6781083875840475, -0.32988522948950827, 0.3789616747288558, 0.5109295950260311, 0.8052227078773593, -0.8926615819052306]; [0.6298001180204382, 0.6781083875840475, 0.3789616747288558, 0.5109295950260311, 0.8052227078773593]
IsNotNaN; [NaN, 0.581416825029329, NaN]; [0.581416825029329]
IsPositive; [0.7464329306327864, 0.06313187882275129, -0.0901605132494423, -0.22904679204990597, -0.03950546758610285]; [0.7464329306327864, 0.06313187882275129]
IsNotNaN; [0.1697304701543012, 0.5972412652836527]; [0.1697304701543012, 0.5972412652836527]
DivisibleByTwo; [-0.372344012705206, -0.44050508857137904, -0.9858392625221699]; []
IsNotNaN; [0.31738519998987513, -0.48077902552960694, -0.542821778717065, 0.8300557287289498, 0.4512920909466813, -0.31200083218018726, -0.4683828461475612, 0.18882359993750697]; [0.31738519998987513, -0.48077902552960694, -0.542821778717065, 0.8300557287289498, 0.4512920909466813, -0.31200083218018726, -0.4683828461475612, 0.18882359993750697]
IsPositive; [-0.20330690507192495]; []
IsNotNaN; [NaN, 0.6904750685546255, 0.7982476124028932, -0.2879220515630341, NaN]; [0.6904750685546255, 0.7982476124028932, -0.2879220515630341]
IsNotNaN; [NaN, -0.04967330859339092, 0.4866588768314677, -0.47538936129227993, -0.506035090632786]; [-0.04967330859339092, 0.4866588768314677, -0.47538936129227993, -0.506035090632786]
IsPositive; [-0.7958893113432426, -0.028288163629109242, 0.037049761564428296, -0.038383317242352444, -0.8196991136423284, 0.06539711772825996, -0.637842431278252]; [0.037049761564428296, 0.06539711772825996]
IsPositive; [-0.08832865075524321, 0.44790062851808043, 0.5123023033138827, -0.18817751127410398, 0.765928371448364, -0.6007816985544536, 0.6605900602685442]; [0.44790062851808043, 0.5123023033138827, 0.765928371448364, 0.6605900602685442]
IsPositive; [-0.6842511891040968, 0.8590518029842729, -0.26196155480379746, 0.3137757365636855, -0.7168395794802047]; [0.8590518029842729, 0.3137757365636855]
DivisibleByTwo; [-0.24608557241091145, 0.7467944884748341, 0.6207984441622385, 0.517583999273511, 0.014089514090152022, 0.8520908615188536, -0.9328085867949791, 0.5605054262510261, 0.9230532176887531]; []
IsPositive; [-0.8260619979637311, -0.9382031651777036, 0.1619583842580361, -0.5224489802775705, 0.7225802236395902, 0.35761233323004893, 0.7108695579754583, -0.8670271750315244, 0.6978108226111439]; [0.1619583842580361, 0.7225802236395902, 0.35761233323004893, 0.7108695579754583, 0.6978108226111439]
DivisibleByTwo; [-0.39800450574375135, 0.4052512887195958]; []
IsPositive; [0.24147107326230888]; [0.24147107326230888]
IsPositive; [-0.05081431279656479, 0.6805943255278195, 0.702097204185471, -0.10105204239721721, -0.9284387839551913, 0.20101224240887583, 0.15910262782795703, -0.9950725983232318, 0.8388986613061995]; [0.6805943255278195, 0.702097204185471, 0.20101224240887583, 0.15910262782795703, 0.8388986613061995]
DivisibleByTwo; [0.4563558355895132, 0.16509692841222745]; []
DivisibleByTwo; [0.7397185611476398, -0.2797076537244447, 0.5154557380514637, 0.2533405580412351, -0.6238315130226251, -0.9243051228152288, -0.294309576203331, -0.2983945341472509]; []
DivisibleByTwo; [-0.6313083109520379, -0.7051717032742697, 0.6859833741006987]; []
DivisibleByTwo; [0.9452225830720347, 1.5554196108213958E-4, -0.37871463338072675, -0.4483142608551327]; []
IsNotNaN; [0.9640465671966849, NaN, 0.6948408917471931, NaN, -0.7484473690827163, NaN]; [0.9640465671966849, 0.6948408917471931, -0.7484473690827163]
IsNotNaN; [-0.05149070187033611, -0.7886900607123826, -0.7659530607565785, -0.31839031318022304, -0.08710107117552113, NaN]; [-0.05149070187033611, -0.7886900607123826, -0.7659530607565785, -0.31839031318022304, -0.08710107117552113]
IsPositive; [0.08023662348859939, -0.17456123721276118, 0.20893076223258422]; [0.08023662348859939, 0.20893076223258422]
IsNotNaN; [0.6409290684331814]; [0.6409290684331814]
DivisibleByTwo; [-0.27382792420744395, 0.5751474936293219, -0.4489967721710577]; []
IsNotNaN; [-0.9884745417839476, -0.36216096197172565, -0.11483418182968608]; [-0.9884745417839476, -0.36216096197172565, -0.11483418182968608]
IsPositive; [0.4362021707189647, -0.5001823992245418, -0.6565559057120709, -0.41283535605295096]; [0.4362021707189647]
IsNotNaN; [NaN, 0.17358167473255004, NaN, 0.2724910136874381, -0.6132431768458095, -0.4042753969907804, 0.11120447600636729, -0.9747554481450422, 0.6616191924979691]; [0.17358167473255004, 0.2724910136874381, -0.6132431768458095, -0.4042753969907804, 0.11120447600636729, -0.9747554481450422, 0.6616191924979691]
IsPositive; [-0.9361499991200957, 0.9491953557014707, -0.14702024661063118, 0.11939290322998874]; [0.9491953557014707, 0.11939290322998874]
IsNotNaN; [0.4765581259421714, -0.9841159214089279, -0.5625895729264538]; [0.4765581259421714, -0.9841159214089279, -0.5625895729264538]
IsNotNaN; [-0.019849956892767917, 0.5787379961539161, -0.8273567516842659, NaN, NaN, 0.3322502042483262, NaN, NaN]; [-0.019849956892767917, 0.5787379961539161, -0.8273567516842659, 0.3322502042483262]
IsNotNaN; [NaN, -0.5349593240619461, 0.43651737063523743, -0.12917394320127373, 0.6401733060260548, 0.8708648806600667]; [-0.5349593240619461, 0.43651737063523743, -0.12917394320127373, 0.6401733060260548, 0.8708648806600667]
IsPositive; [0.16664048297109724, 0.8660079137921743, 0.5934109477206553]; [0.16664048297109724, 0.8660079137921743, 0.5934109477206553]
IsNotNaN; [-0.5365563052267326, 0.5734319356616417, NaN, 0.14972849827487034, NaN, -0.5600943471045734, -0.5530853712694817, -0.5064366216497214, -0.3901364722414644]; [-0.5365563052267326, 0.5734319356616417, 0.14972849827487034, -0.5600943471045734, -0.5530853712694817, -0.5064366216497214, -0.3901364722414644]
DivisibleByTwo; [0.6435193703481499, -0.38306833918613514]; []
IsPositive; [-0.1594036789363975, -0.69136976906533, 0.041357236448813506, -0.05619620889974186, 0.12458268201550982, 0.6086869359943705, -0.38225629270952144]; [0.041357236448813506, 0.12458268201550982, 0.6086869359943705]
IsNotNaN; [0.19972736885039577, -0.05225713869812498, 0.5201975713627605, NaN]; [0.19972736885039577, -0.05225713869812498, 0.5201975713627605]
DivisibleByTwo; [-0.10990868424996791, 0.27304503291063775, 0.6919723670599511, -0.8502849489088364, 0.17519988239000162, 0.6902274303296578, 0.23643927133856746, -0.968704728563327, 0.8109717040283018]; []
DivisibleByTwo; [0.253424896459876, 0.8786758893604913, -0.5874329104089344, -0.7514316673354735, -0.13322197092067545, -0.519411681906109, -0.20145849396019844, 0.18329727520203454, -0.014578913235882673]; []
IsNotNaN; [0.04796387920184686, -0.5225387928643832, -0.6939765590826008, NaN]; [0.04796387920184686, -0.5225387928643832, -0.6939765590826008]
IsNotNaN; [-0.3027346644880402, 0.902641765412715, 0.7857156203317814, -0.8890446036101436, NaN, 0.2102785591220655, NaN, 0.6500884027627343]; [-0.3027346644880402, 0.902641765412715, 0.7857156203317814, -0.8890446036101436, 0.2102785591220655, 0.6500884027627343]
IsPositive; [0.042038713972543995, 0.6826062893285785]; [0.042038713972543995, 0.6826062893285785]
DivisibleByTwo; [0.2281288814054956, -0.9975934508575275, -0.8970046696196246, 0.16306347128016752]; []
IsNotNaN; [-0.0563401476328147, -0.058316979028084415, -0.042271593682983166, 0.4398813183294472, -0.050463709585522265, NaN, 0.8864047882457402, -0.5632199555267805]; [-0.0563401476328147, -0.058316979028084415, -0.042271593682983166, 0.4398813183294472, -0.050463709585522265, 0.8864047882457402, -0.5632199555267805]
IsPositive; [-0.03885471619645231, 0.0019675929998677066]; [0.0019675929998677066]
IsPositive; [0.2015147109953963, -0.31577676384642306, -0.5266767119482656, -0.17458911751873707]; [0.2015147109953963]
IsPositive; [-0.08203529218352901, 0.9919449261405304, 0.920169453007426, -0.6849629440972278, -0.013084066092287738]; [0.9919449261405304, 0.920169453007426]
DivisibleByTwo; [-0.49676951863202534, 0.20905956568696804, -0.7633424264816466, -0.044998573975116196, -0.6163015579073832]; []
IsPositive; [0.19850210302803095, -0.34798185522066216, 0.40469605628663596, -0.7179054088222643, -0.4101320355095095, 0.25332365451173167, -0.6617464825460455, -0.6021231439348851, 0.9159159185790013]; [0.19850210302803095, 0.40469605628663596, 0.25332365451173167, 0.9159159185790013]
IsPositive; [-0.3408015987549724, 0.7867661064186227, 0.5001340724154522, 0.8344276333427272]; [0.7867661064186227, 0.5001340724154522, 0.8344276333427272]
IsNotNaN; [-0.1738045676194977, 0.35754258077664236, -0.4353520939607829, -0.22684528043516927]; [-0.1738045676194977, 0.35754258077664236, -0.4353520939607829, -0.22684528043516927]
IsPositive; [-0.2915156639096721, -0.822859205315823]; []
IsPositive; [-0.16932746281195477, 0.1226731856865062, -0.9106373281573517]; [0.1226731856865062]
IsPositive; [-0.2559682227684279, 0.026272459240430868, 0.6366292640301221, -0.888248723026875, 0.5740136477784958]; [0.026272459240430868, 0.6366292640301221, 0.5740136477784958]
DivisibleByTwo; [0.2708243362483047]; []
IsNotNaN; [-0.5257472943841637]; [-0.5257472943841637]
DivisibleByTwo; [0.4508502109445063, -0.7968671426734688, 0.7355545689339162, -0.5920968132748794, -0.6993530075890102]; []
IsNotNaN; [-0.8929876046918062, -0.4722502614838955, 0.1188070437129427, NaN, NaN]; [-0.8929876046918062, -0.4722502614838955, 0.1188070437129427]
DivisibleByTwo; [0.4615426110154288, 0.21703124930368145, -0.9265874979080575, 0.8136980979451063, -0.6120574827124594]; []
IsNotNaN; [-0.35286703019479515]; [-0.35286703019479515]
DivisibleByTwo; [0.29205909820482545, -0.6734471128563155, -0.4209562611873592, -0.5211870203099151, 0.510281166391706]; []
DivisibleByTwo; [0.17936927859455531, 0.296112036260449, 0.7322925486479559, 0.234858333172568, -0.5805513690998902, 0.11851440860167206, 0.8510234146948612, 0.6590202548775541, 0.10423473947416984]; []
DivisibleByTwo; [-0.12977708056803539, -0.29026867939405054, 0.9736063997024849, -0.5825292152888595, -0.9471105026243338, 0.6336843363404234, 0.5921759525763188]; []
IsPositive; [-0.537983211503358, 0.5792539062582607, -0.19453230195705795, 0.08090014510534083, 0.297991935428201, -0.7020878753796866, -0.3515623883314618, -0.06241466676559271]; [0.5792539062582607, 0.08090014510534083, 0.297991935428201]
IsNotNaN; [0.9140476786839988, NaN, 0.3014164128119292]; [0.9140476786839988, 0.3014164128119292]
IsPositive; [0.5301902203486941, 0.25121611984502645, -0.5974728384308476, 0.13708392218230792, -0.516282773077132, 0.14292180357064166, 0.051156128463495154, -0.57309218539212]; [0.5301902203486941, 0.25121611984502645, 0.13708392218230792, 0.14292180357064166, 0.051156128463495154]
IsNotNaN; [0.595372384415791, -0.9086178806609269, -0.594099355998321, 0.7183488652237224, 0.9614048704654312, 0.16976581157279513, -0.5837848545976936]; [0.595372384415791, -0.9086178806609269, -0.594099355998321, 0.7183488652237224, 0.9614048704654312, 0.16976581157279513, -0.5837848545976936]
IsPositive; [-0.7345336526861734, 0.41505211302617107, 0.021116301654512837, 0.8376276697257452, 0.9419391322941693, -0.3964674488353821, 0.9191897932292303, -0.7598737213209654]; [0.41505211302617107, 0.021116301654512837, 0.8376276697257452, 0.9419391322941693, 0.9191897932292303]
IsPositive; [-0.5340898031827519, 0.07304380204637728]; [0.07304380204637728]
IsPositive; [0.16299739259658175, -0.6623086604660204, -0.5210488808520131, -0.41576124022518135, 0.6959811529479407]; [0.16299739259658175, 0.6959811529479407]
DivisibleByTwo; [0.9678927386438012, -0.953165322531615, 0.5466687839973356, -0.22760452154933186, 0.8727350694559759, 0.48769477697458075, 0.9391986443427227]; []
IsPositive; [0.7376044532740844, -0.9332985981070645, 0.08354184239574214, -0.6255872821701021, 0.5456481434365517, -0.974789211607503, -0.806005134215908]; [0.7376044532740844, 0.08354184239574214, 0.5456481434365517]
IsPositive; [-0.931451883048777, 0.5065694542614791, -0.8135301405480633]; [0.5065694542614791]
IsPositive; [-0.43352086182984184, -0.6054933551190842, -0.062364061296948936]; []
IsNotNaN; [-0.6680340102966313, 0.22503228520168372, 0.42401161522563235, -0.11327045182180018, -0.7043864324266511, 0.22024900788741175, -0.5940072370803384]; [-0.6680340102966313, 0.22503228520168372, 0.42401161522563235, -0.11327045182180018, -0.7043864324266511, 0.22024900788741175, -0.5940072370803384]
DivisibleByTwo; [0.9028196550398169, -0.8511686091239048, 0.735787926907504, 0.48179695842311143, 0.9475736912970736]; []
IsPositive; [-0.48140505159116165, -0.4277473643102272, 0.10383857044703482, 0.9738021769568133, 0.017772125143381556, 0.867151530212287, 0.6028191658536866, 0.4405736604725905, 0.9018174277535973]; [0.10383857044703482, 0.9738021769568133, 0.017772125143381556, 0.867151530212287, 0.6028191658536866, 0.4405736604725905, 0.9018174277535973]
DivisibleByTwo; [-0.9399703079070156, -0.8603390453019932, -0.908522863011515, 0.013165068542787317]; []
DivisibleByTwo; [0.5747582681277206, 0.8818156194713112, 0.6916497213538677]; []
DivisibleByTwo; [-0.1655734597555758]; []
DivisibleByTwo; [-0.5336430099829763, -0.3403765566239305, -0.8991728670280059, 0.04376461533908671, 0.3676150834855423]; []
DivisibleByTwo; [0.5869158241913499, -0.9461829723264987, -0.6494191939124603, -0.5288315377699115, -0.8289315829124386, -0.6735663771516103]; []
IsNotNaN; [0.5869191327735264]; [0.5869191327735264]
DivisibleByTwo; [-0.004420303820412919, 0.2912272388020951, 0.5840747506771777, -0.9602451773781184]; []
IsPositive; [0.6093589081681614, 0.08944781542901903, 0.14176133424190618, -0.16839850415467117, -0.37524523697925294, 0.298000565137152, -0.891398624279031, -0.20836271030490794, 0.4235339357407626]; [0.6093589081681614, 0.08944781542901903, 0.14176133424190618, 0.298000565137152, 0.4235339357407626]
DivisibleByTwo; [-0.18288662626379382, -0.05372014529078273]; []
IsNotNaN; [NaN, 0.539859530133777]; [0.539859530133777]
IsPositive; [0.460936400509977, 0.3403179117814419, 0.10218577140800855, 0.10076879940497907, 0.7055305343955798, 0.46448412232674463, 0.7719373122905262]; [0.460936400509977, 0.3403179117814419, 0.10218577140800855, 0.10076879940497907, 0.7055305343955798, 0.46448412232674463, 0.7719373122905262]
IsNotNaN; [NaN, -0.9988035824400177]; [-0.9988035824400177]
IsNotNaN; [-0.7871182196467466, -0.8325982374289334, -0.6175615441897464]; [-0.7871182196467466, -0.8325982374289334, -0.6175615441897464]
IsPositive; [0.7524769654187131, 0.7808772424670796]; [0.7524769654187131, 0.7808772424670796]
IsPositive; [-0.5544319998217935]; []
IsPositive; [0.6753893343111965, 0.4226805145755008, 0.09517385963625946, 0.4913876091086795, 0.03618158299951091, 0.38578954705837787, 0.024977603752350808, -0.4505645810232437, 0.03861511029324194]; [0.6753893343111965, 0.4226805145755008, 0.09517385963625946, 0.4913876091086795, 0.03618158299951091, 0.38578954705837787, 0.024977603752350808, 0.03861511029324194]
IsPositive; [-0.8728664674233042, -0.9496588028329305, 0.23524821000507234]; [0.23524821000507234]
IsNotNaN; [-0.3209393986529676]; [-0.3209393986529676]
IsPositive; [-0.8147786894902349, -0.8795871601329148, 0.6439330023206793]; [0.6439330023206793]
IsNotNaN; [0.6919578933374546, -0.16935652603797302, -0.19654182027853917, -0.9665999515945618, NaN, 0.8939713103070364]; [0.6919578933374546, -0.16935652603797302, -0.19654182027853917, -0.9665999515945618, 0.8939713103070364]
IsPositive; [0.5121632807706522, 0.1318424404574856, -0.7726178747294805, 0.38309370141427235]; [0.5121632807706522, 0.1318424404574856, 0.38309370141427235]
IsPositive; [-0.41813232473521844]; []
DivisibleByTwo; [0.5038498387159609, -0.14257001991893348, -0.42854993815189757, -0.7139828431302253, 0.6068083118914593, 0.8237266528548104, -0.9078680391594538]; []
IsNotNaN; [-0.5077338870315065, 0.1790056502409565, -0.519396237052659, NaN, -0.405699397977451]; [-0.5077338870315065, 0.1790056502409565, -0.519396237052659, -0.405699397977451]
IsPositive; [0.4231258348660969, -0.26833100484947936, -0.8467817846960037, 0.5985936733432751, -0.9164177571422842, -0.002025382295266054, -0.13096816747917517, 0.8019441675914905, 0.9634050872364921]; [0.4231258348660969, 0.5985936733432751, 0.8019441675914905, 0.9634050872364921]
IsPositive; [-0.40183247841652525, -0.7126856725632857, -0.6352069968361285, 0.6861641756218739]; [0.6861641756218739]
IsNotNaN; [0.14737162106677482, -0.9275549719019243, 0.2669489083182133, 0.5806732625941926, -0.8305568867622455, 0.18777771140199206, 0.6264983573930125]; [0.14737162106677482, -0.9275549719019243, 0.2669489083182133, 0.5806732625941926, -0.8305568867622455, 0.18777771140199206, 0.6264983573930125]
DivisibleByTwo; [0.4509884089027303, 0.01763080894592406, -0.6696145376122764, 0.16931424397557704, -0.30852182291464825]; []
